Time(s),ErrorX(px),ErrorY(px)
1.3731,-508.00,43.00
1.4388,-500.00,43.00
1.4970,-498.00,43.00
1.5558,-497.00,42.00
1.6156,-494.00,43.00
1.6757,-466.00,53.00
1.7364,-445.00,59.00
1.7927,-425.00,67.00
1.8491,-403.00,72.00
1.9068,-346.00,90.00
1.9638,-309.00,101.00
2.0263,-281.00,111.00
2.0890,-256.00,119.00
2.1472,-189.00,130.00
2.2081,-158.00,133.00
2.2661,-139.00,133.00
2.3246,-111.00,125.00
2.3837,-94.00,119.00
2.4432,-81.00,115.00
2.5000,-66.00,105.00
2.5602,-57.00,97.00
2.6215,-43.00,82.00
2.6820,-36.00,71.00
2.7447,-34.00,61.00
2.8072,-36.00,39.00
2.8657,-35.00,26.00
2.9236,-36.00,19.00
2.9790,-33.00,12.00
3.0412,-31.00,8.00
3.1009,-30.00,5.00
3.1603,-29.00,3.00
3.2201,-29.00,2.00
3.2827,-26.00,-4.00
3.3403,-25.00,-7.00
3.4011,-25.00,-8.00
3.4625,-20.00,-5.00
3.5224,-17.00,-3.00
3.5831,-15.00,-1.00
3.6436,-14.00,1.00
3.7028,-12.00,3.00
3.7594,-12.00,4.00
3.8200,-12.00,4.00
3.8790,-13.00,3.00
3.9374,-13.00,2.00
4.0009,-13.00,2.00
4.0597,-13.00,1.00
4.1136,-13.00,1.00
4.1731,-13.00,2.00
4.2320,-14.00,3.00
4.2874,-14.00,4.00
4.3452,-14.00,4.00
4.4069,-14.00,3.00
4.4670,-14.00,3.00
4.5280,-14.00,2.00
4.5877,-13.00,2.00
4.6514,-13.00,2.00
4.7116,-13.00,2.00
4.7657,-14.00,3.00
4.8248,-14.00,3.00
4.8798,-14.00,3.00
4.9435,-14.00,4.00
5.0048,-13.00,4.00
5.0683,-13.00,3.00
5.1280,-13.00,2.00
5.1831,-13.00,2.00
5.2410,-14.00,2.00
5.2994,-14.00,2.00
5.3558,-14.00,3.00
5.4124,-15.00,3.00
5.4727,-15.00,3.00
5.5316,-14.00,3.00
5.5909,-13.00,3.00
5.6486,-13.00,2.00
5.7061,-13.00,2.00
5.7699,-13.00,2.00
5.8264,-13.00,2.00
5.8823,-13.00,2.00
5.9398,-13.00,2.00
5.9983,-13.00,3.00
6.0591,-12.00,3.00
6.1192,-12.00,3.00
6.1856,-12.00,3.00
6.2493,-12.00,3.00
6.3056,-12.00,3.00
6.3674,-12.00,3.00
6.4236,-12.00,3.00
6.4923,-12.00,4.00
6.5495,-11.00,4.00
6.6061,-11.00,4.00
6.6633,-11.00,4.00
6.7212,-11.00,4.00
6.7789,-11.00,3.00
6.8395,-11.00,3.00
6.8993,-11.00,3.00
6.9634,-11.00,4.00
7.0218,-12.00,4.00
7.0834,-12.00,5.00
7.1445,-11.00,5.00
7.2020,-11.00,4.00
7.2638,-11.00,4.00
7.3229,-11.00,4.00
7.3812,-11.00,3.00
7.4399,-11.00,3.00
7.5003,-11.00,3.00
7.5599,-12.00,5.00
7.6194,-12.00,5.00
7.6827,-12.00,5.00
7.7480,-12.00,5.00
7.8139,-12.00,4.00
7.8771,-12.00,3.00
7.9475,-12.00,3.00
8.0105,-12.00,3.00
8.0788,-12.00,3.00
8.1378,-12.00,3.00
8.2010,-12.00,4.00
8.2631,-12.00,4.00
8.3202,-12.00,4.00
8.3874,-12.00,4.00
8.4504,-11.00,3.00
8.5084,-11.00,3.00
8.5669,-10.00,3.00
8.6278,-11.00,3.00
8.6869,-11.00,4.00
8.7520,-12.00,4.00
8.8107,-12.00,4.00
8.8674,-12.00,4.00
8.9241,-12.00,5.00
8.9847,-12.00,5.00
9.0407,-12.00,4.00
9.1067,-11.00,4.00
9.1637,-11.00,3.00
9.2196,-11.00,3.00
9.2778,-10.00,3.00
9.3401,-11.00,3.00
9.4005,-11.00,3.00
9.4567,-11.00,4.00
9.5199,-12.00,4.00
9.5802,-12.00,5.00
9.6402,-12.00,4.00
9.6995,-12.00,4.00
9.7590,-12.00,3.00
9.8181,-11.00,3.00
9.8754,-10.00,3.00
9.9422,-10.00,3.00
10.0083,-11.00,3.00
10.0709,-11.00,3.00
10.1349,-11.00,4.00
10.1981,-11.00,3.00
10.2631,-10.00,4.00
10.3260,-10.00,4.00
10.3859,-9.00,4.00
10.4514,-10.00,4.00
10.5150,-10.00,3.00
10.5739,-9.00,4.00
10.6330,-9.00,4.00
10.6911,-9.00,5.00
10.7485,-9.00,6.00
10.8087,-8.00,7.00
10.8638,-8.00,7.00
10.9279,-7.00,6.00
10.9941,-7.00,6.00
11.0579,-7.00,6.00
11.1206,-7.00,6.00
11.1804,-8.00,6.00
11.2400,-8.00,6.00
11.2999,-8.00,7.00
11.3662,-7.00,7.00
11.4260,-7.00,6.00
11.4853,-7.00,5.00
11.5453,-7.00,5.00
11.6011,-6.00,5.00
11.6633,-7.00,5.00
11.7218,-6.00,5.00
11.7804,-7.00,5.00
11.8357,-7.00,6.00
11.9032,-8.00,7.00
11.9686,-10.00,5.00
12.0281,-11.00,5.00
12.0840,-12.00,4.00
12.1485,-12.00,4.00
12.2132,-10.00,5.00
12.2699,-9.00,5.00
12.3317,-7.00,5.00
12.4005,-5.00,3.00
12.4604,-4.00,3.00
12.5197,-4.00,3.00
12.5811,-4.00,3.00
12.6402,-5.00,4.00
12.7000,-5.00,6.00
12.7595,-4.00,6.00
12.8190,-4.00,7.00
12.8798,-4.00,7.00
12.9411,-4.00,6.00
12.9998,-5.00,6.00
13.0667,-5.00,5.00
13.1230,-5.00,5.00
13.1824,-5.00,5.00
13.2409,-5.00,6.00
13.3006,-4.00,8.00
13.3637,-4.00,9.00
13.4338,-4.00,9.00
13.4905,-4.00,9.00
13.5491,-5.00,7.00
13.6052,-6.00,7.00
13.6656,-6.00,7.00
13.7289,-6.00,6.00
13.7929,-6.00,7.00
13.8581,-5.00,7.00
13.9213,-5.00,7.00
13.9847,-6.00,8.00
14.0467,-6.00,8.00
14.1047,-6.00,8.00
14.1596,-6.00,7.00
14.2196,-5.00,6.00
14.2805,-5.00,6.00
14.3483,-5.00,6.00
14.4084,-5.00,8.00
14.4655,-5.00,9.00
14.5254,-6.00,8.00
14.5811,-6.00,9.00
14.6438,-5.00,8.00
