Time(s),ErrorX(px),ErrorY(px)
1.5041,-501.00,29.00
1.5663,-501.00,28.00
1.6321,-502.00,27.00
1.6901,-502.00,27.00
1.7564,-500.00,28.00
1.8157,-468.00,42.00
1.8801,-445.00,52.00
1.9461,-424.00,61.00
2.0102,-424.00,61.00
2.0752,-322.00,90.00
2.1458,-288.00,101.00
2.2076,-264.00,109.00
2.2737,-213.00,121.00
2.3360,-195.00,125.00
2.4046,-158.00,127.00
2.4712,-131.00,126.00
2.5323,-115.00,124.00
2.5958,-91.00,116.00
2.6648,-78.00,110.00
2.7255,-70.00,102.00
2.7876,-59.00,81.00
2.8503,-54.00,64.00
2.9090,-53.00,53.00
2.9690,-53.00,45.00
3.0270,-50.00,35.00
3.0865,-48.00,29.00
3.1498,-46.00,26.00
3.2131,-45.00,24.00
3.2788,-42.00,16.00
3.3472,-41.00,11.00
3.4139,-40.00,8.00
3.4703,-36.00,2.00
3.5312,-34.00,0.00
3.5957,-32.00,-1.00
3.6556,-26.00,3.00
3.7455,-22.00,4.00
3.8106,-20.00,4.00
3.8705,-18.00,6.00
3.9298,-17.00,7.00
3.9869,-16.00,7.00
4.0509,-16.00,8.00
4.1097,-15.00,8.00
4.1696,-15.00,8.00
4.2277,-15.00,8.00
4.2881,-15.00,8.00
4.3465,-13.00,10.00
4.4070,-12.00,11.00
4.4680,-11.00,12.00
4.5334,-9.00,12.00
4.6014,-9.00,11.00
4.6597,-9.00,11.00
4.7183,-8.00,11.00
4.7823,-8.00,11.00
4.8433,-8.00,11.00
4.9108,-8.00,11.00
4.9697,-8.00,11.00
5.0322,-8.00,11.00
5.0974,-8.00,11.00
5.1622,-8.00,11.00
5.2261,-7.00,10.00
5.2900,-7.00,10.00
5.3485,-6.00,11.00
5.4048,-7.00,11.00
5.4735,-7.00,11.00
5.5313,-8.00,11.00
5.5911,-9.00,12.00
5.6516,-9.00,12.00
5.7075,-9.00,12.00
5.7666,-8.00,12.00
5.8261,-8.00,12.00
5.8855,-7.00,11.00
5.9486,-7.00,11.00
6.0058,-7.00,11.00
6.0638,-7.00,11.00
6.1230,-7.00,11.00
6.1814,-7.00,12.00
6.2471,-7.00,12.00
6.3136,-7.00,12.00
6.3755,-8.00,11.00
6.4309,-8.00,11.00
6.4880,-8.00,10.00
6.5467,-7.00,12.00
6.6131,-6.00,13.00
6.6807,-5.00,13.00
6.7373,-4.00,13.00
6.8020,-4.00,13.00
6.8631,-3.00,13.00
6.9290,-3.00,13.00
6.9910,-4.00,13.00
7.0494,-5.00,13.00
7.1030,-5.00,13.00
