Time(s),ErrorX(px),ErrorY(px)
1.5195,-513.00,26.00
1.5870,-514.00,23.00
1.6510,-513.00,22.00
1.7156,-512.00,21.00
1.7794,-490.00,27.00
1.8390,-474.00,33.00
1.8935,-459.00,41.00
1.9493,-415.00,61.00
2.0074,-384.00,73.00
2.0676,-342.00,91.00
2.1263,-310.00,102.00
2.1861,-285.00,113.00
2.2395,-218.00,130.00
2.2949,-195.00,136.00
2.3531,-176.00,140.00
2.4104,-160.00,141.00
2.4710,-108.00,130.00
2.5321,-83.00,122.00
2.5925,-67.00,113.00
2.6503,-46.00,96.00
2.7084,-36.00,85.00
2.7642,-31.00,77.00
2.8216,-29.00,70.00
2.8774,-26.00,62.00
2.9336,-29.00,43.00
2.9951,-31.00,34.00
3.0548,-32.00,28.00
3.1115,-31.00,17.00
3.1662,-30.00,11.00
3.2244,-29.00,8.00
3.2861,-27.00,2.00
3.3391,-27.00,0.00
3.3986,-26.00,-8.00
3.4593,-25.00,-11.00
3.5190,-24.00,-13.00
3.5771,-24.00,-15.00
3.6327,-22.00,-10.00
3.6901,-21.00,-6.00
3.7458,-21.00,-4.00
3.8012,-21.00,-1.00
3.8615,-22.00,1.00
3.9194,-22.00,1.00
3.9795,-21.00,1.00
4.0401,-20.00,1.00
4.0977,-14.00,-1.00
4.1534,-10.00,-1.00
4.2181,-6.00,-1.00
4.2774,-4.00,0.00
4.3338,-4.00,0.00
4.3955,-4.00,1.00
4.4561,-4.00,1.00
4.5145,-5.00,2.00
4.5704,-4.00,3.00
4.6275,-4.00,5.00
4.6850,-3.00,6.00
4.7432,-2.00,5.00
4.7984,0.00,4.00
4.8562,0.00,3.00
4.9182,-1.00,2.00
4.9798,-1.00,2.00
5.0386,-2.00,2.00
5.1023,-3.00,3.00
5.1603,-3.00,4.00
5.2197,-3.00,4.00
5.2795,-4.00,5.00
5.3386,-4.00,5.00
5.3948,-4.00,5.00
5.4516,-4.00,4.00
5.5098,-3.00,3.00
5.5679,-3.00,3.00
5.6228,-3.00,3.00
5.6824,-3.00,3.00
5.7375,-3.00,3.00
5.7931,-3.00,3.00
5.8500,-4.00,4.00
5.9073,-4.00,4.00
5.9638,-4.00,4.00
6.0232,-4.00,4.00
6.0790,-3.00,3.00
6.1371,-3.00,3.00
6.2001,-3.00,3.00
6.2548,-3.00,3.00
6.3150,-3.00,3.00
