Time(s),ErrorX(px),ErrorY(px)
1.4792,-505.00,35.00
1.5679,-498.00,38.00
1.6411,-496.00,38.00
1.7150,-484.00,45.00
1.7814,-474.00,50.00
1.8442,-464.00,55.00
1.9093,-453.00,59.00
1.9757,-415.00,70.00
2.0401,-389.00,78.00
2.1052,-312.00,99.00
2.1677,-273.00,111.00
2.2295,-247.00,118.00
2.2880,-206.00,128.00
2.3509,-183.00,132.00
2.4109,-166.00,132.00
2.4730,-152.00,131.00
2.5362,-132.00,128.00
2.6073,-101.00,111.00
2.6754,-90.00,105.00
2.7391,-70.00,84.00
2.7978,-61.00,73.00
2.8611,-56.00,62.00
2.9233,-49.00,46.00
2.9836,-46.00,38.00
3.0408,-46.00,33.00
3.1029,-46.00,30.00
3.1640,-41.00,24.00
3.2253,-41.00,20.00
3.2845,-38.00,16.00
3.3405,-38.00,15.00
3.4072,-35.00,7.00
3.4653,-33.00,3.00
3.5227,-31.00,0.00
3.5817,-30.00,-1.00
3.6401,-26.00,0.00
3.7087,-25.00,1.00
3.7694,-23.00,1.00
3.8314,-22.00,6.00
3.8939,-21.00,8.00
3.9641,-21.00,8.00
4.0245,-17.00,7.00
4.0795,-15.00,6.00
4.1460,-14.00,5.00
4.2017,-13.00,5.00
4.2635,-12.00,5.00
4.3191,-9.00,6.00
4.3864,-8.00,7.00
4.4497,-7.00,8.00
4.5147,-8.00,9.00
4.5820,-9.00,10.00
4.6455,-10.00,10.00
4.7121,-10.00,9.00
4.7708,-10.00,9.00
4.8295,-10.00,8.00
4.8907,-9.00,9.00
4.9528,-9.00,9.00
5.0159,-9.00,10.00
5.0844,-9.00,10.00
5.1608,-8.00,9.00
5.2286,-8.00,8.00
5.2929,-8.00,9.00
5.3488,-8.00,9.00
5.4102,-8.00,9.00
5.4695,-9.00,10.00
5.5272,-9.00,9.00
5.5904,-8.00,9.00
5.6599,-8.00,9.00
5.7304,-8.00,9.00
5.7905,-7.00,9.00
5.8458,-7.00,9.00
5.9034,-7.00,9.00
5.9605,-8.00,8.00
6.0218,-8.00,9.00
6.0837,-8.00,9.00
6.1496,-8.00,9.00
6.2079,-9.00,9.00
6.2662,-9.00,9.00
6.3283,-9.00,8.00
6.3912,-9.00,8.00
6.4504,-9.00,8.00
6.5094,-9.00,8.00
6.5699,-9.00,9.00
6.6339,-9.00,10.00
6.6939,-8.00,9.00
6.7514,-8.00,9.00
6.8092,-8.00,9.00
6.8705,-8.00,7.00
6.9302,-9.00,7.00
6.9926,-8.00,7.00
7.0585,-7.00,8.00
7.1172,-7.00,8.00
7.1757,-7.00,8.00
7.2333,-7.00,9.00
7.2940,-7.00,9.00
7.3527,-7.00,8.00
7.4088,-7.00,8.00
7.4664,-7.00,8.00
7.5261,-7.00,8.00
7.5864,-7.00,9.00
7.6495,-7.00,9.00
7.7079,-8.00,9.00
7.7752,-8.00,8.00
7.8427,-7.00,9.00
7.9084,-7.00,8.00
7.9706,-6.00,8.00
8.0299,-6.00,8.00
8.0916,-6.00,8.00
8.1574,-7.00,8.00
8.2269,-7.00,9.00
8.2850,-7.00,9.00
8.3445,-7.00,9.00
8.4070,-5.00,9.00
8.4660,-5.00,8.00
8.5311,-4.00,9.00
8.5982,-5.00,8.00
8.6583,-5.00,8.00
8.7277,-6.00,9.00
8.7934,-5.00,9.00
8.8633,-5.00,9.00
8.9275,-5.00,10.00
8.9892,-6.00,9.00
9.0537,-7.00,9.00
9.1141,-7.00,9.00
9.1746,-7.00,8.00
9.2454,-7.00,8.00
9.3048,-7.00,8.00
9.3676,-6.00,8.00
9.4241,-6.00,9.00
9.4849,-5.00,9.00
9.5428,-5.00,9.00
9.6103,-5.00,8.00
9.6675,-5.00,8.00
9.7251,-5.00,8.00
9.7852,-5.00,7.00
9.8520,-5.00,8.00
9.9193,-5.00,8.00
9.9785,-6.00,9.00
10.0396,-6.00,9.00
10.1027,-6.00,9.00
10.1630,-5.00,8.00
10.2220,-5.00,8.00
10.2857,-5.00,8.00
10.3512,-5.00,8.00
10.4124,-5.00,8.00
10.4730,-5.00,8.00
10.5341,-5.00,9.00
10.5980,-5.00,9.00
10.6599,-5.00,9.00
10.7250,-5.00,8.00
10.7891,-5.00,8.00
10.8563,-5.00,8.00
10.9214,-5.00,8.00
10.9867,-5.00,9.00
11.0488,-5.00,9.00
11.1075,-5.00,9.00
11.1719,-5.00,9.00
11.2378,-4.00,9.00
11.2959,-4.00,8.00
11.3595,-4.00,8.00
11.4228,-4.00,8.00
11.4811,-4.00,8.00
11.5367,-4.00,9.00
11.6019,-4.00,9.00
11.6598,-4.00,9.00
11.7208,-4.00,8.00
11.7780,-4.00,8.00
11.8410,-4.00,8.00
11.9008,-4.00,8.00
11.9627,-4.00,9.00
12.0225,-4.00,8.00
