Time(s),ErrorX(px),ErrorY(px)
1.4847,-512.00,6.00
1.5572,-510.00,4.00
1.6235,-508.00,5.00
1.6847,-507.00,5.00
1.7499,-501.00,10.00
1.8123,-467.00,28.00
1.8706,-442.00,38.00
1.9285,-419.00,48.00
1.9898,-362.00,68.00
2.0500,-327.00,83.00
2.1063,-282.00,101.00
2.1662,-251.00,114.00
2.2269,-228.00,121.00
2.2875,-177.00,128.00
2.3487,-159.00,130.00
2.4063,-145.00,131.00
2.4615,-133.00,130.00
2.5209,-99.00,119.00
2.5793,-82.00,113.00
2.6390,-73.00,106.00
2.6980,-57.00,88.00
2.7585,-49.00,78.00
2.8188,-45.00,69.00
2.8795,-44.00,61.00
2.9368,-42.00,53.00
2.9939,-40.00,34.00
3.0550,-38.00,23.00
3.1128,-36.00,15.00
3.1716,-33.00,6.00
3.2296,-32.00,2.00
3.2857,-31.00,-1.00
3.3459,-32.00,-4.00
3.4027,-30.00,-4.00
3.4649,-29.00,-5.00
3.5252,-28.00,-6.00
3.5848,-24.00,-4.00
3.6424,-22.00,-4.00
3.6979,-21.00,-3.00
3.7541,-19.00,-3.00
3.8110,-17.00,-2.00
3.8695,-15.00,1.00
3.9291,-13.00,2.00
3.9889,-11.00,2.00
4.0484,-11.00,3.00
4.1091,-10.00,4.00
4.1725,-10.00,4.00
4.2289,-10.00,5.00
4.2871,-10.00,5.00
4.3437,-11.00,5.00
4.3993,-11.00,6.00
4.4547,-11.00,6.00
4.5131,-11.00,7.00
4.5721,-10.00,5.00
4.6345,-10.00,5.00
4.6925,-10.00,5.00
4.7513,-10.00,4.00
4.8105,-9.00,5.00
4.8762,-9.00,5.00
4.9427,-9.00,4.00
5.0099,-9.00,5.00
5.0700,-9.00,4.00
5.1288,-8.00,4.00
5.1890,-8.00,4.00
5.2502,-8.00,4.00
5.3073,-8.00,5.00
5.3647,-8.00,4.00
5.4226,-9.00,4.00
5.4810,-9.00,4.00
5.5394,-10.00,4.00
5.5945,-10.00,4.00
5.6584,-10.00,4.00
5.7208,-9.00,4.00
5.7781,-9.00,4.00
5.8370,-9.00,4.00
5.8954,-9.00,4.00
5.9645,-9.00,5.00
6.0289,-9.00,6.00
6.0898,-9.00,6.00
6.1471,-9.00,6.00
6.2036,-9.00,5.00
6.2608,-9.00,5.00
6.3302,-9.00,5.00
6.3940,-8.00,6.00
6.4511,-7.00,6.00
6.5089,-7.00,6.00
6.5748,-6.00,7.00
6.6318,-5.00,7.00
6.6890,-6.00,7.00
6.7467,-6.00,6.00
6.8067,-6.00,5.00
6.8711,-7.00,5.00
6.9331,-7.00,5.00
6.9910,-7.00,5.00
7.0484,-6.00,5.00
7.1153,-7.00,5.00
7.1788,-7.00,4.00
7.2488,-7.00,3.00
7.3052,-6.00,3.00
7.3619,-6.00,3.00
7.4156,-6.00,3.00
7.4751,-6.00,2.00
7.5383,-7.00,2.00
7.5968,-8.00,2.00
7.6569,-8.00,2.00
7.7195,-8.00,3.00
7.7781,-7.00,4.00
7.8362,-7.00,4.00
7.8936,-6.00,4.00
7.9533,-6.00,4.00
8.0083,-6.00,4.00
8.0671,-6.00,3.00
8.1324,-6.00,4.00
8.2023,-6.00,4.00
8.2604,-6.00,5.00
8.3200,-6.00,5.00
8.3789,-7.00,4.00
8.4377,-7.00,4.00
8.4992,-6.00,4.00
8.5543,-6.00,4.00
8.6145,-6.00,4.00
8.6843,-6.00,4.00
8.7494,-6.00,4.00
8.8055,-7.00,4.00
8.8621,-7.00,4.00
8.9166,-7.00,4.00
8.9754,-7.00,4.00
9.0304,-6.00,4.00
9.0933,-6.00,4.00
9.1501,-6.00,4.00
9.2143,-6.00,4.00
9.2803,-7.00,4.00
9.3378,-7.00,4.00
9.3983,-7.00,4.00
9.4551,-6.00,4.00
9.5148,-6.00,5.00
9.5787,-6.00,5.00
9.6375,-6.00,4.00
9.6983,-7.00,4.00
9.7586,-7.00,5.00
9.8159,-7.00,5.00
9.8735,-7.00,5.00
9.9247,-6.00,5.00
9.9823,-7.00,5.00
10.0384,-7.00,4.00
10.0969,-7.00,4.00
