Time(s),ErrorX(px),ErrorY(px)
1.5559,-76.00,451.00
1.6225,-76.00,451.00
1.6856,-76.00,452.00
1.7519,-76.00,451.00
1.8141,-76.00,448.00
1.8747,-76.00,413.00
1.9409,-77.00,389.00
2.0056,-77.00,370.00
2.0649,-77.00,316.00
2.1316,-77.00,316.00
2.1923,-74.00,240.00
2.2548,-72.00,211.00
2.3140,-64.00,149.00
2.3763,-62.00,128.00
2.4399,-55.00,79.00
2.5033,-47.00,44.00
2.5712,-42.00,26.00
2.6393,-38.00,12.00
2.6987,-32.00,-8.00
2.7635,-27.00,-19.00
2.8329,-21.00,-24.00
2.8923,-16.00,-25.00
2.9549,-13.00,-25.00
3.0155,-11.00,-24.00
3.0724,-16.00,-24.00
3.1303,-20.00,-25.00
3.1899,-25.00,-25.00
3.2461,-30.00,-26.00
3.3145,-32.00,-26.00
3.3825,-36.00,-24.00
3.4460,-36.00,-22.00
3.5079,-36.00,-20.00
3.5749,-34.00,-16.00
3.6400,-33.00,-13.00
3.7006,-34.00,-11.00
3.7649,-35.00,-9.00
3.8255,-37.00,-9.00
3.8891,-38.00,-8.00
3.9548,-39.00,-7.00
4.0153,-39.00,-5.00
4.0744,-39.00,-5.00
4.1367,-39.00,-5.00
4.1965,-37.00,-6.00
4.2571,-36.00,-7.00
4.3167,-35.00,-8.00
4.3834,-34.00,-8.00
4.4489,-33.00,-7.00
4.5087,-33.00,-6.00
4.5667,-34.00,-6.00
4.6350,-35.00,-6.00
4.6978,-36.00,-6.00
4.7594,-36.00,-6.00
4.8244,-36.00,-7.00
4.8850,-36.00,-7.00
4.9550,-35.00,-7.00
5.0208,-35.00,-8.00
5.0835,-35.00,-8.00
5.1468,-35.00,-8.00
5.2153,-35.00,-7.00
5.2748,-32.00,-9.00
5.3353,-31.00,-9.00
5.4021,-31.00,-10.00
5.4626,-28.00,-12.00
5.5261,-28.00,-12.00
5.5843,-28.00,-13.00
5.6482,-28.00,-14.00
5.7166,-27.00,-15.00
5.7839,-25.00,-15.00
5.8630,-25.00,-15.00
5.9385,-21.00,-14.00
6.0237,-19.00,-14.00
6.0941,-16.00,-13.00
6.1529,-13.00,-13.00
6.2136,-13.00,-13.00
6.2737,-11.00,-13.00
6.3342,-10.00,-14.00
6.3958,-9.00,-13.00
6.4546,-9.00,-14.00
6.5133,-10.00,-14.00
6.5723,-10.00,-15.00
6.6428,-10.00,-15.00
6.7172,-11.00,-15.00
6.7872,-10.00,-14.00
6.8544,-10.00,-14.00
6.9218,-11.00,-15.00
6.9822,-10.00,-15.00
7.0403,-10.00,-15.00
7.1023,-10.00,-16.00
7.1687,-10.00,-15.00
7.2282,-11.00,-15.00
7.2872,-11.00,-15.00
7.3506,-11.00,-15.00
7.4131,-11.00,-16.00
7.4724,-11.00,-17.00
7.5412,-11.00,-17.00
7.6018,-10.00,-16.00
7.6684,-10.00,-16.00
7.7319,-11.00,-16.00
7.8002,-11.00,-15.00
7.8624,-11.00,-15.00
7.9228,-11.00,-15.00
7.9912,-11.00,-16.00
8.0537,-10.00,-16.00
8.1205,-10.00,-16.00
8.1909,-11.00,-16.00
8.2581,-11.00,-16.00
8.3263,-11.00,-16.00
8.3925,-11.00,-15.00
8.4578,-11.00,-16.00
8.5185,-11.00,-16.00
8.5738,-10.00,-16.00
8.6358,-10.00,-16.00
8.6941,-10.00,-16.00
8.7493,-11.00,-15.00
8.8077,-11.00,-16.00
8.8673,-11.00,-16.00
8.9318,-11.00,-15.00
8.9947,-11.00,-16.00
9.0613,-11.00,-16.00
9.1249,-11.00,-16.00
9.1895,-10.00,-16.00
9.2555,-11.00,-16.00
9.3143,-11.00,-16.00
9.3714,-11.00,-16.00
9.4372,-11.00,-16.00
9.5031,-11.00,-16.00
9.5680,-11.00,-16.00
9.6312,-11.00,-16.00
9.6909,-11.00,-16.00
9.7632,-11.00,-16.00
9.8273,-11.00,-16.00
9.8882,-11.00,-17.00
9.9466,-11.00,-17.00
10.0114,-11.00,-17.00
10.0730,-11.00,-16.00
10.1297,-11.00,-16.00
10.1854,-11.00,-16.00
10.2483,-11.00,-16.00
10.3141,-11.00,-17.00
10.3756,-11.00,-17.00
10.4350,-11.00,-17.00
10.4933,-11.00,-17.00
10.5599,-11.00,-17.00
10.6199,-11.00,-18.00
10.6813,-11.00,-18.00
10.7429,-11.00,-18.00
10.8031,-10.00,-18.00
10.8640,-10.00,-18.00
10.9206,-10.00,-18.00
10.9865,-11.00,-18.00
11.0486,-11.00,-19.00
11.1127,-11.00,-19.00
11.1751,-11.00,-19.00
11.2354,-11.00,-19.00
11.2996,-10.00,-19.00
11.3633,-10.00,-19.00
11.4359,-11.00,-18.00
11.5006,-11.00,-18.00
11.5596,-12.00,-18.00
11.6279,-12.00,-17.00
11.6978,-13.00,-17.00
11.7625,-12.00,-17.00
11.8325,-11.00,-20.00
11.8969,-10.00,-22.00
11.9592,-10.00,-22.00
12.0257,-9.00,-22.00
12.0857,-9.00,-21.00
12.1527,-9.00,-20.00
12.2124,-9.00,-14.00
12.2788,-10.00,-12.00
12.3375,-10.00,-11.00
12.4030,-8.00,-7.00
