Time(s),ErrorX(px),ErrorY(px)
1.3957,-78.00,447.00
1.4512,-79.00,446.00
1.5092,-79.00,446.00
1.5738,-79.00,445.00
1.6334,-79.00,445.00
1.6962,-79.00,442.00
1.7579,-79.00,396.00
1.8198,-78.00,366.00
1.8801,-78.00,366.00
1.9397,-78.00,366.00
2.0001,-78.00,366.00
2.0579,-78.00,366.00
2.1107,-78.00,366.00
2.2885,-48.00,35.00
2.3468,-30.00,-30.00
2.4121,-27.00,-45.00
2.4714,-21.00,-69.00
2.5280,-16.00,-82.00
2.5903,-2.00,-93.00
2.6489,6.00,-94.00
2.7071,11.00,-90.00
2.7721,11.00,-90.00
2.8329,11.00,-90.00
2.8958,11.00,-90.00
2.9541,11.00,-90.00
3.0186,11.00,-90.00
3.1294,-52.00,-37.00
3.1931,-52.00,-33.00
3.2498,-43.00,-17.00
3.3027,-37.00,-9.00
3.3644,-34.00,-5.00
3.4242,-33.00,-2.00
3.4829,-36.00,-2.00
3.5425,-40.00,-2.00
3.6124,-43.00,-1.00
3.6704,-44.00,0.00
3.7263,-44.00,0.00
3.7835,-42.00,8.00
3.8409,-41.00,11.00
3.8955,-40.00,12.00
3.9549,-40.00,7.00
4.0103,-40.00,4.00
4.0714,-40.00,3.00
4.1261,-40.00,2.00
4.1896,-39.00,4.00
4.2472,-38.00,6.00
4.3017,-38.00,7.00
4.3682,-38.00,7.00
4.4292,-39.00,6.00
4.4886,-39.00,6.00
4.5496,-39.00,6.00
4.6091,-39.00,5.00
4.6679,-35.00,6.00
4.7241,-32.00,6.00
4.7838,-32.00,6.00
4.8387,-32.00,5.00
4.8934,-33.00,4.00
4.9515,-33.00,3.00
5.0169,-32.00,5.00
5.0774,-32.00,5.00
5.1366,-31.00,7.00
5.1949,-30.00,8.00
5.2576,-26.00,8.00
5.3182,-25.00,7.00
5.3768,-22.00,7.00
5.4345,-19.00,8.00
5.4935,-16.00,9.00
5.5519,-14.00,12.00
5.6128,-13.00,14.00
5.6736,-12.00,14.00
5.7320,-11.00,14.00
5.7860,-12.00,15.00
5.8433,-11.00,15.00
5.9093,-11.00,15.00
5.9709,-11.00,16.00
6.0271,-11.00,16.00
6.0822,-11.00,16.00
6.1377,-10.00,15.00
6.1963,-10.00,15.00
6.2523,-10.00,15.00
6.3075,-11.00,16.00
