Time(s),ErrorX(px),ErrorY(px)
1.5420,-77.00,439.00
1.6057,-77.00,438.00
1.6734,-76.00,438.00
1.7343,-76.00,438.00
1.7927,-75.00,436.00
1.8548,-75.00,408.00
1.9169,-75.00,387.00
1.9754,-74.00,371.00
2.0308,-74.00,366.00
2.0989,-74.00,366.00
2.1637,-74.00,366.00
2.2204,-74.00,366.00
2.2739,-74.00,366.00
2.3344,-74.00,366.00
2.4574,-51.00,53.00
2.5199,-51.00,53.00
2.5770,-51.00,53.00
2.6342,-51.00,53.00
2.6898,-51.00,53.00
2.7502,-51.00,53.00
2.8660,34.00,-126.00
2.9287,30.00,-132.00
2.9869,20.00,-137.00
3.0438,14.00,-139.00
3.1064,14.00,-139.00
3.1649,4.00,-132.00
3.2302,1.00,-128.00
3.2931,-4.00,-121.00
3.3559,-9.00,-111.00
3.4135,-11.00,-104.00
3.4723,-13.00,-98.00
3.5300,-15.00,-93.00
3.5850,-18.00,-86.00
3.6441,-18.00,-86.00
3.7005,-18.00,-86.00
3.7642,-18.00,-86.00
3.8231,-18.00,-86.00
3.8902,-18.00,-86.00
4.0146,-30.00,-17.00
4.0737,-31.00,-6.00
4.1354,-32.00,0.00
4.1995,-32.00,4.00
4.2608,-32.00,4.00
4.3267,-30.00,16.00
4.3836,-30.00,19.00
4.4418,-31.00,21.00
4.5007,-32.00,19.00
4.5625,-33.00,19.00
4.6211,-33.00,18.00
4.6794,-32.00,17.00
4.7417,-30.00,18.00
4.8008,-29.00,19.00
4.8583,-30.00,19.00
4.9146,-30.00,18.00
4.9724,-30.00,18.00
5.0271,-29.00,18.00
5.0862,-29.00,18.00
5.1442,-28.00,18.00
5.2028,-26.00,18.00
5.2593,-25.00,17.00
5.3206,-24.00,17.00
5.3809,-24.00,16.00
5.4414,-25.00,16.00
5.5012,-26.00,17.00
5.5605,-26.00,17.00
5.6204,-26.00,18.00
5.6807,-27.00,18.00
5.7444,-27.00,17.00
5.8078,-27.00,17.00
5.8681,-26.00,17.00
5.9291,-25.00,17.00
5.9916,-25.00,17.00
6.0554,-24.00,18.00
6.1116,-22.00,18.00
6.1704,-21.00,19.00
6.2312,-20.00,19.00
6.2978,-18.00,20.00
6.3549,-15.00,22.00
6.4110,-14.00,23.00
6.4701,-13.00,23.00
6.5344,-12.00,22.00
6.5947,-8.00,20.00
6.6537,-6.00,19.00
6.7084,-5.00,18.00
6.7699,-3.00,16.00
6.8267,-1.00,16.00
6.8859,0.00,15.00
6.9438,0.00,14.00
7.0036,-1.00,13.00
7.0674,-3.00,12.00
7.1227,-3.00,12.00
