Time(s),ErrorX(px),ErrorY(px)
1.3976,-67.00,408.00
1.4547,-66.00,408.00
1.5102,-65.00,406.00
1.5645,-65.00,406.00
1.6210,-64.00,399.00
1.6802,-64.00,384.00
1.7423,-64.00,384.00
1.8026,-64.00,384.00
1.8647,-64.00,384.00
1.9282,-64.00,384.00
1.9885,-64.00,384.00
2.1038,-35.00,135.00
2.1634,-35.00,135.00
2.2205,-35.00,135.00
2.2791,-35.00,135.00
2.3378,-35.00,135.00
2.4046,-35.00,135.00
2.5162,-8.00,-79.00
2.5727,7.00,-83.00
2.6313,17.00,-98.00
2.6872,14.00,-112.00
2.7408,3.00,-120.00
2.7956,-7.00,-124.00
2.8527,-17.00,-125.00
2.9116,-29.00,-123.00
2.9729,-43.00,-108.00
3.0261,-43.00,-108.00
3.0829,-43.00,-108.00
3.1403,-43.00,-108.00
3.1969,-43.00,-108.00
3.2558,-43.00,-108.00
3.3720,-25.00,-29.00
3.4308,-30.00,-21.00
3.4902,-34.00,-13.00
3.5460,-37.00,-6.00
3.6007,-40.00,15.00
3.6582,-39.00,26.00
3.7135,-38.00,32.00
3.7694,-36.00,35.00
3.8272,-35.00,31.00
3.8807,-33.00,27.00
3.9373,-33.00,23.00
3.9942,-33.00,19.00
4.0525,-31.00,16.00
4.1122,-29.00,14.00
4.1665,-28.00,14.00
4.2212,-28.00,15.00
4.2767,-29.00,15.00
4.3329,-32.00,15.00
4.3928,-35.00,15.00
4.4523,-37.00,15.00
4.5124,-38.00,13.00
4.5671,-35.00,12.00
4.6236,-32.00,13.00
4.6824,-28.00,13.00
4.7409,-25.00,13.00
4.7961,-23.00,12.00
4.8520,-21.00,11.00
4.9075,-22.00,10.00
4.9616,-24.00,9.00
5.0179,-26.00,9.00
5.0730,-30.00,11.00
5.1295,-31.00,12.00
5.1850,-30.00,13.00
5.2403,-29.00,14.00
5.2974,-24.00,15.00
5.3535,-21.00,15.00
5.4122,-19.00,15.00
5.4696,-17.00,14.00
5.5275,-14.00,15.00
5.5917,-11.00,16.00
5.6542,-9.00,16.00
5.7174,-7.00,17.00
5.7743,-6.00,18.00
5.8343,-6.00,18.00
5.8941,-7.00,18.00
5.9558,-9.00,18.00
6.0151,-8.00,17.00
6.0724,-8.00,17.00
6.1323,-8.00,17.00
6.1929,-7.00,18.00
6.2513,-7.00,17.00
6.3103,-7.00,16.00
6.3667,-7.00,16.00
6.4228,-7.00,16.00
6.4815,-8.00,16.00
6.5386,-8.00,16.00
6.5981,-8.00,16.00
6.6543,-8.00,16.00
6.7111,-7.00,16.00
6.7666,-7.00,16.00
6.8229,-7.00,16.00
6.8813,-8.00,16.00
6.9384,-8.00,15.00
6.9947,-9.00,15.00
7.0529,-8.00,15.00
7.1095,-7.00,16.00
7.1648,-7.00,16.00
7.2204,-7.00,16.00
7.2756,-7.00,16.00
7.3345,-7.00,16.00
7.3920,-8.00,16.00
7.4537,-8.00,15.00
7.5110,-8.00,15.00
7.5646,-8.00,15.00
7.6200,-8.00,15.00
7.6766,-8.00,15.00
7.7310,-7.00,15.00
7.7869,-8.00,15.00
7.8425,-8.00,15.00
7.9009,-8.00,15.00
7.9616,-8.00,15.00
8.0172,-8.00,15.00
8.0741,-8.00,15.00
8.1325,-8.00,15.00
8.1901,-8.00,15.00
8.2477,-8.00,15.00
8.3043,-7.00,15.00
8.3624,-8.00,15.00
8.4203,-8.00,15.00
8.4777,-8.00,15.00
8.5336,-8.00,15.00
8.5925,-8.00,15.00
8.6482,-7.00,16.00
8.7137,-7.00,16.00
8.7706,-7.00,16.00
8.8294,-7.00,16.00
8.8921,-7.00,16.00
8.9498,-7.00,16.00
9.0074,-7.00,16.00
9.0637,-7.00,15.00
9.1211,-7.00,15.00
9.1761,-7.00,15.00
9.2341,-7.00,15.00
9.2933,-8.00,16.00
9.3535,-8.00,16.00
9.4123,-8.00,16.00
9.4675,-8.00,17.00
9.5245,-8.00,17.00
9.5815,-7.00,18.00
9.6389,-7.00,19.00
9.6931,-7.00,19.00
9.7538,-7.00,19.00
9.8130,-8.00,20.00
9.8738,-8.00,21.00
9.9297,-8.00,20.00
9.9901,-8.00,19.00
10.0461,-7.00,19.00
10.1052,-8.00,19.00
10.1617,-7.00,18.00
10.2193,-7.00,17.00
10.2801,-7.00,15.00
10.3379,-7.00,14.00
10.3961,-7.00,14.00
10.4547,-8.00,13.00
10.5147,-7.00,13.00
10.5758,-8.00,13.00
10.6347,-8.00,14.00
10.6931,-8.00,13.00
10.7507,-8.00,14.00
10.8100,-8.00,14.00
10.8680,-8.00,15.00
10.9229,-8.00,15.00
10.9812,-8.00,16.00
11.0385,-8.00,16.00
11.0972,-9.00,16.00
11.1580,-9.00,16.00
11.2181,-8.00,15.00
11.2734,-8.00,15.00
11.3301,-8.00,14.00
11.3879,-8.00,15.00
11.4472,-8.00,15.00
11.5030,-8.00,15.00
11.5601,-8.00,15.00
11.6178,-8.00,15.00
11.6766,-9.00,15.00
11.7368,-8.00,15.00
11.7956,-8.00,14.00
11.8534,-8.00,13.00
11.9133,-8.00,13.00
