Time(s),ErrorX(px),ErrorY(px)
1.5043,121.00,371.00
1.5828,119.00,370.00
1.6503,119.00,370.00
1.7136,120.00,370.00
1.7744,120.00,366.00
1.8320,119.00,340.00
1.8921,119.00,322.00
1.9492,118.00,306.00
2.0079,115.00,257.00
2.0735,113.00,208.00
2.1322,113.00,175.00
2.1902,114.00,149.00
2.2488,114.00,125.00
2.3037,120.00,77.00
2.3630,123.00,50.00
2.4221,125.00,30.00
2.4818,128.00,16.00
2.5434,129.00,-15.00
2.6002,128.00,-28.00
2.6588,121.00,-36.00
2.7173,118.00,-38.00
2.7833,115.00,-37.00
2.8410,113.00,-35.00
2.9025,110.00,-32.00
2.9575,101.00,-28.00
3.0157,90.00,-22.00
3.0722,84.00,-17.00
3.1331,63.00,-6.00
3.1916,52.00,1.00
3.2510,44.00,6.00
3.3091,34.00,15.00
3.3679,20.00,27.00
3.4274,14.00,34.00
3.4864,14.00,34.00
3.5517,5.00,42.00
3.6123,2.00,46.00
3.6699,1.00,46.00
3.7240,1.00,46.00
3.7824,-1.00,43.00
3.8467,1.00,34.00
3.9115,2.00,29.00
3.9670,4.00,25.00
4.0256,6.00,22.00
4.0836,10.00,13.00
4.1426,11.00,9.00
4.2031,12.00,6.00
4.2697,13.00,4.00
4.3336,13.00,1.00
4.3927,13.00,0.00
4.4499,15.00,-2.00
4.5113,15.00,-3.00
4.5679,16.00,-2.00
4.6266,17.00,-2.00
4.6853,16.00,-3.00
4.7459,15.00,-2.00
4.8113,15.00,-1.00
4.8721,14.00,-1.00
4.9390,14.00,-1.00
5.0108,15.00,-1.00
5.0705,16.00,-2.00
5.1266,16.00,-2.00
5.1843,16.00,-2.00
5.2427,17.00,-2.00
5.3088,17.00,-2.00
5.3772,16.00,-2.00
5.4427,15.00,-1.00
5.5001,15.00,-1.00
5.5665,14.00,0.00
5.6300,14.00,0.00
5.6962,14.00,-1.00
5.7543,14.00,-1.00
5.8147,15.00,-2.00
5.8706,16.00,-2.00
5.9258,16.00,-2.00
5.9814,16.00,-2.00
6.0420,16.00,-1.00
6.1019,15.00,0.00
6.1611,15.00,0.00
6.2164,15.00,0.00
6.2712,15.00,0.00
6.3309,15.00,0.00
6.3927,14.00,-1.00
6.4506,14.00,-1.00
6.5072,14.00,0.00
6.5667,15.00,0.00
6.6282,16.00,0.00
6.6886,16.00,0.00
6.7478,15.00,0.00
6.8087,15.00,0.00
6.8688,15.00,0.00
6.9267,16.00,0.00
6.9879,16.00,0.00
7.0523,16.00,1.00
7.1104,16.00,1.00
7.1701,15.00,1.00
7.2290,15.00,1.00
7.2874,16.00,1.00
7.3470,16.00,1.00
7.4063,16.00,1.00
7.4668,16.00,0.00
7.5318,16.00,0.00
7.5931,16.00,0.00
7.6541,16.00,0.00
7.7192,17.00,1.00
7.7871,17.00,1.00
7.8461,17.00,1.00
7.9080,17.00,1.00
7.9646,16.00,1.00
8.0229,16.00,1.00
8.0818,16.00,1.00
8.1395,17.00,1.00
8.2097,17.00,2.00
8.2670,17.00,2.00
8.3309,16.00,2.00
8.4032,17.00,2.00
8.4691,17.00,1.00
8.5290,17.00,1.00
8.5886,17.00,1.00
8.6485,17.00,1.00
8.7058,17.00,1.00
8.7652,17.00,1.00
8.8233,16.00,1.00
8.8827,16.00,1.00
8.9391,16.00,2.00
8.9991,16.00,2.00
9.0557,16.00,3.00
9.1156,16.00,2.00
9.1747,16.00,1.00
9.2330,17.00,1.00
9.2919,17.00,1.00
9.3482,17.00,1.00
9.4035,16.00,1.00
9.4627,17.00,1.00
9.5211,17.00,1.00
9.5778,17.00,1.00
9.6382,17.00,1.00
9.6945,16.00,1.00
9.7524,16.00,2.00
9.8151,15.00,2.00
9.8795,16.00,2.00
9.9385,17.00,2.00
9.9971,17.00,1.00
10.0556,17.00,1.00
10.1151,17.00,1.00
10.1725,18.00,2.00
10.2273,18.00,2.00
10.2897,18.00,1.00
10.3584,17.00,1.00
10.4213,17.00,1.00
10.4860,17.00,2.00
10.5407,17.00,2.00
10.6017,17.00,2.00
10.6619,17.00,2.00
10.7224,17.00,2.00
10.7882,17.00,2.00
10.8522,17.00,1.00
10.9179,17.00,1.00
10.9883,18.00,1.00
11.0491,18.00,1.00
11.1053,18.00,1.00
11.1659,17.00,1.00
11.2337,17.00,1.00
11.2946,17.00,2.00
11.3556,16.00,2.00
11.4188,16.00,2.00
11.4883,16.00,1.00
11.5443,16.00,1.00
11.6024,17.00,2.00
11.6622,16.00,2.00
11.7213,16.00,2.00
11.7783,16.00,2.00
11.8439,16.00,2.00
11.9077,16.00,2.00
11.9669,16.00,2.00
12.0233,16.00,2.00
12.0805,16.00,2.00
12.1395,16.00,3.00
12.1992,17.00,3.00
12.2574,17.00,3.00
12.3153,18.00,3.00
12.3718,18.00,3.00
12.4290,17.00,3.00
12.4871,19.00,3.00
12.5481,19.00,2.00
12.6097,19.00,3.00
12.6733,19.00,3.00
12.7364,18.00,3.00
12.8071,18.00,3.00
12.8704,17.00,4.00
12.9252,17.00,4.00
12.9937,17.00,4.00
13.0512,17.00,4.00
13.1092,17.00,4.00
13.1634,17.00,4.00
13.2230,17.00,3.00
13.2840,17.00,3.00
13.3477,17.00,3.00
13.4104,18.00,2.00
13.4693,18.00,3.00
13.5329,18.00,3.00
13.5982,18.00,3.00
13.6634,18.00,3.00
13.7221,17.00,3.00
13.7867,17.00,4.00
13.8518,17.00,3.00
13.9136,16.00,3.00
13.9736,16.00,4.00
14.0284,15.00,3.00
14.0850,16.00,3.00
14.1442,16.00,4.00
14.2040,16.00,3.00
14.2635,17.00,3.00
14.3234,17.00,3.00
14.3810,17.00,3.00
14.4389,17.00,3.00
14.5068,17.00,2.00
14.5674,17.00,3.00
14.6276,16.00,3.00
14.6931,16.00,3.00
14.7576,16.00,3.00
14.8285,15.00,3.00
14.8870,16.00,3.00
14.9444,16.00,3.00
15.0043,16.00,3.00
