Time(s),ErrorX(px),ErrorY(px)
1.5605,119.00,362.00
1.6246,119.00,362.00
1.6889,119.00,361.00
1.7566,120.00,357.00
1.8299,120.00,351.00
1.9028,120.00,341.00
1.9626,120.00,311.00
2.0205,118.00,287.00
2.0803,116.00,267.00
2.1418,116.00,192.00
2.2054,116.00,150.00
2.2643,117.00,122.00
2.3258,124.00,78.00
2.3823,127.00,53.00
2.4391,128.00,36.00
2.4954,129.00,20.00
2.5550,129.00,9.00
2.6251,122.00,-5.00
2.6842,119.00,-11.00
2.7445,114.00,-16.00
2.7978,111.00,-17.00
2.8569,107.00,-15.00
2.9138,105.00,-14.00
2.9730,100.00,-11.00
3.0310,90.00,-8.00
3.0940,84.00,-6.00
3.1546,77.00,-4.00
3.2147,71.00,-2.00
3.2785,53.00,4.00
3.3427,43.00,9.00
3.4093,37.00,13.00
3.4680,24.00,24.00
3.5303,17.00,30.00
3.5966,14.00,34.00
3.6516,12.00,37.00
3.7101,7.00,36.00
3.7748,4.00,34.00
3.8335,2.00,32.00
3.8916,3.00,26.00
3.9489,4.00,22.00
4.0132,5.00,20.00
4.0711,7.00,18.00
4.1347,10.00,11.00
4.1908,12.00,8.00
4.2628,12.00,7.00
4.3173,12.00,6.00
4.3762,13.00,4.00
4.4355,13.00,3.00
4.4929,14.00,2.00
4.5569,14.00,2.00
4.6168,15.00,2.00
4.6753,15.00,2.00
4.7349,14.00,1.00
4.8034,13.00,1.00
4.8589,14.00,1.00
4.9245,14.00,1.00
4.9844,14.00,1.00
5.0531,15.00,2.00
5.1155,14.00,2.00
5.1730,14.00,3.00
5.2342,15.00,2.00
5.2983,14.00,2.00
5.3622,14.00,2.00
5.4221,14.00,1.00
5.4851,15.00,2.00
5.5506,15.00,2.00
5.6099,15.00,3.00
5.6727,15.00,2.00
5.7330,15.00,2.00
5.7903,15.00,2.00
5.8499,15.00,2.00
5.9146,15.00,2.00
5.9801,16.00,3.00
6.0401,15.00,3.00
6.0918,15.00,3.00
6.1547,15.00,3.00
6.2242,15.00,2.00
6.2837,14.00,2.00
6.3455,13.00,2.00
6.4096,13.00,2.00
6.4721,13.00,3.00
6.5314,13.00,3.00
6.5932,13.00,3.00
6.6588,13.00,3.00
6.7224,13.00,2.00
6.7887,13.00,2.00
6.8526,13.00,1.00
6.9135,13.00,2.00
6.9759,13.00,2.00
7.0349,13.00,2.00
7.0992,13.00,3.00
7.1648,12.00,2.00
7.2257,12.00,2.00
7.2877,10.00,1.00
7.3430,10.00,0.00
7.4040,10.00,0.00
7.4592,10.00,0.00
7.5242,10.00,0.00
7.5879,7.00,0.00
7.6564,6.00,0.00
7.7142,5.00,0.00
7.7761,5.00,0.00
7.8417,5.00,0.00
7.9035,6.00,0.00
7.9618,6.00,0.00
8.0308,8.00,-1.00
8.0958,8.00,-1.00
