Time(s),ErrorX(px),ErrorY(px)
1.5770,114.00,365.00
1.6547,114.00,361.00
1.7213,115.00,357.00
1.7933,117.00,354.00
1.8623,119.00,349.00
1.9272,119.00,318.00
1.9854,119.00,308.00
2.0506,117.00,295.00
2.1274,113.00,226.00
2.1994,110.00,187.00
2.2607,113.00,134.00
2.3190,115.00,104.00
2.3803,118.00,83.00
2.4478,122.00,69.00
2.5144,127.00,33.00
2.5819,127.00,16.00
2.6436,124.00,8.00
2.7146,117.00,0.00
2.7737,113.00,-4.00
2.8354,111.00,-4.00
2.8960,109.00,-3.00
2.9615,106.00,-1.00
3.0263,104.00,0.00
3.0892,96.00,1.00
3.1514,89.00,2.00
3.2209,83.00,3.00
3.2833,76.00,5.00
3.3448,58.00,12.00
3.4042,48.00,16.00
3.4638,42.00,21.00
3.5299,30.00,33.00
3.5974,24.00,39.00
3.6607,19.00,43.00
3.7263,15.00,46.00
3.7857,12.00,42.00
3.8494,8.00,39.00
3.9073,6.00,37.00
3.9807,8.00,29.00
4.0471,11.00,25.00
4.1112,13.00,23.00
4.1704,19.00,17.00
4.2318,20.00,13.00
4.3009,19.00,11.00
4.3607,20.00,9.00
4.4249,19.00,7.00
4.4852,17.00,6.00
4.5506,17.00,6.00
4.6158,19.00,6.00
4.6731,21.00,6.00
4.7300,21.00,7.00
4.7959,23.00,6.00
4.8628,22.00,4.00
4.9234,22.00,3.00
4.9897,22.00,3.00
5.0595,19.00,5.00
5.1159,18.00,6.00
5.1770,18.00,7.00
5.2368,13.00,7.00
5.2949,12.00,8.00
5.3538,10.00,7.00
5.4122,10.00,7.00
5.4740,7.00,8.00
5.5352,8.00,8.00
5.5976,8.00,8.00
5.6579,9.00,8.00
5.7183,11.00,9.00
5.7901,11.00,9.00
5.8584,10.00,9.00
5.9246,8.00,8.00
5.9862,8.00,8.00
6.0504,8.00,8.00
6.1151,9.00,9.00
6.1757,9.00,9.00
6.2318,10.00,9.00
6.2895,10.00,9.00
6.3607,9.00,9.00
6.4275,9.00,9.00
6.4930,8.00,10.00
6.5607,9.00,8.00
6.6244,9.00,8.00
6.6898,10.00,9.00
6.7553,9.00,9.00
6.8134,9.00,10.00
6.8731,8.00,10.00
6.9351,9.00,10.00
6.9971,9.00,10.00
7.0589,9.00,10.00
7.1195,10.00,8.00
7.1755,10.00,8.00
7.2350,11.00,8.00
7.2983,11.00,8.00
7.3586,11.00,9.00
7.4163,10.00,9.00
7.4763,9.00,10.00
7.5346,10.00,9.00
7.5944,9.00,10.00
7.6576,9.00,9.00
7.7186,10.00,9.00
7.7805,10.00,9.00
7.8396,11.00,9.00
7.9001,11.00,9.00
7.9585,11.00,9.00
8.0166,11.00,9.00
8.0770,11.00,9.00
8.1369,11.00,9.00
8.1986,10.00,10.00
8.2578,9.00,10.00
8.3188,10.00,9.00
