Time(s),ErrorX(px),ErrorY(px)
1.5851,124.00,388.00
1.6587,124.00,387.00
1.7219,122.00,388.00
1.7807,121.00,386.00
1.8455,121.00,384.00
1.9118,120.00,379.00
1.9806,116.00,343.00
2.0474,115.00,330.00
2.1098,114.00,313.00
2.1734,107.00,235.00
2.2403,104.00,192.00
2.3164,106.00,140.00
2.3768,107.00,111.00
2.4352,109.00,91.00
2.4974,111.00,73.00
2.5601,114.00,27.00
2.6202,115.00,3.00
2.6866,115.00,-10.00
2.7542,114.00,-26.00
2.8115,112.00,-33.00
2.8715,111.00,-37.00
2.9422,111.00,-39.00
3.0122,109.00,-43.00
3.0718,107.00,-44.00
3.1338,99.00,-47.00
3.1929,93.00,-46.00
3.2517,90.00,-43.00
3.3094,85.00,-35.00
3.3665,69.00,-25.00
3.4268,62.00,-18.00
3.4852,54.00,-12.00
3.5498,46.00,-7.00
3.6089,28.00,7.00
3.6681,19.00,16.00
3.7243,13.00,22.00
3.7865,8.00,28.00
3.8472,2.00,35.00
3.9021,-1.00,37.00
3.9653,-2.00,37.00
4.0306,-4.00,37.00
4.0943,-4.00,31.00
4.1620,-3.00,29.00
4.2258,-2.00,26.00
4.2836,2.00,22.00
4.3435,3.00,19.00
4.3985,5.00,17.00
4.4590,5.00,14.00
4.5252,5.00,9.00
4.5860,7.00,7.00
4.6510,6.00,6.00
4.7174,8.00,5.00
4.7744,9.00,5.00
4.8354,9.00,5.00
4.8992,9.00,5.00
4.9595,8.00,4.00
5.0327,7.00,3.00
5.1009,6.00,4.00
5.1584,6.00,5.00
5.2198,7.00,6.00
5.2811,7.00,5.00
5.3417,7.00,5.00
5.4054,9.00,4.00
5.4652,9.00,2.00
5.5248,9.00,1.00
5.5847,9.00,2.00
5.6461,9.00,3.00
5.7040,8.00,3.00
5.7653,7.00,4.00
5.8321,8.00,5.00
5.8951,7.00,5.00
5.9526,8.00,4.00
6.0151,8.00,4.00
6.0743,9.00,3.00
6.1390,9.00,3.00
6.2039,9.00,3.00
6.2635,8.00,4.00
6.3255,8.00,4.00
6.3829,8.00,4.00
6.4436,7.00,4.00
6.5068,7.00,3.00
6.5683,7.00,3.00
6.6342,8.00,3.00
6.7002,8.00,3.00
6.7633,8.00,3.00
6.8222,8.00,3.00
6.8784,8.00,3.00
6.9445,9.00,3.00
7.0129,9.00,3.00
7.0799,8.00,3.00
7.1486,7.00,4.00
7.2133,6.00,4.00
7.2743,7.00,4.00
7.3393,8.00,3.00
7.4042,9.00,3.00
7.4718,9.00,2.00
7.5299,9.00,2.00
7.5917,9.00,3.00
7.6511,9.00,3.00
7.7099,8.00,3.00
7.7743,6.00,4.00
7.8333,6.00,4.00
7.8942,6.00,3.00
7.9517,7.00,3.00
8.0151,7.00,3.00
8.0765,7.00,3.00
8.1355,7.00,2.00
8.2025,7.00,2.00
8.2665,7.00,2.00
8.3272,7.00,1.00
8.3848,7.00,1.00
8.4454,7.00,1.00
8.5046,6.00,2.00
8.5643,7.00,1.00
8.6236,7.00,2.00
8.6918,7.00,2.00
8.7572,6.00,2.00
8.8185,6.00,2.00
8.8835,6.00,3.00
8.9410,6.00,4.00
9.0033,8.00,3.00
9.0644,8.00,3.00
9.1269,8.00,3.00
9.1855,8.00,3.00
9.2491,7.00,3.00
9.3176,6.00,4.00
9.3840,5.00,4.00
9.4411,5.00,5.00
9.5090,7.00,5.00
9.5737,7.00,6.00
9.6326,8.00,6.00
9.6995,9.00,7.00
9.7575,9.00,8.00
9.8239,9.00,8.00
9.8872,8.00,8.00
9.9521,7.00,8.00
10.0137,6.00,8.00
10.0823,5.00,8.00
10.1439,5.00,8.00
10.2041,5.00,8.00
10.2652,6.00,7.00
10.3316,8.00,4.00
10.3921,9.00,2.00
10.4548,9.00,1.00
10.5199,9.00,1.00
10.5857,10.00,2.00
10.6471,10.00,3.00
10.7046,9.00,3.00
10.7679,7.00,3.00
10.8326,6.00,4.00
10.9005,6.00,4.00
