Time(s),ErrorX(px),ErrorY(px)
15.8215,109.00,10.00
15.8857,109.00,10.00
15.9454,109.00,10.00
16.0037,109.00,10.00
16.1455,60.00,-65.00
16.2062,46.00,-70.00
16.2633,41.00,-72.00
16.3233,41.00,-68.00
16.3787,42.00,-65.00
16.4404,48.00,-61.00
16.4937,52.00,-59.00
16.5513,54.00,-56.00
16.6126,57.00,-51.00
16.6866,59.00,-47.00
16.7552,62.00,-44.00
16.8189,62.00,-33.00
16.8909,61.00,-27.00
16.9476,61.00,-24.00
17.0157,51.00,-18.00
17.0918,45.00,-14.00
17.1492,31.00,-10.00
17.2258,23.00,-8.00
17.2810,19.00,-8.00
17.3468,18.00,-9.00
17.4049,18.00,-13.00
17.4677,20.00,-16.00
17.5318,20.00,-18.00
17.5909,20.00,-19.00
17.6494,19.00,-21.00
17.7112,18.00,-22.00
