Time(s),ErrorX(px),ErrorY(px)
1.6027,-286.00,-269.00
1.6698,-286.00,-268.00
1.7329,-287.00,-267.00
1.8015,-278.00,-257.00
1.8680,-270.00,-251.00
1.9403,-243.00,-231.00
2.0067,-225.00,-218.00
2.0989,-209.00,-207.00
2.1602,-161.00,-173.00
2.2333,-137.00,-156.00
2.2931,-122.00,-146.00
2.3640,-95.00,-132.00
2.4205,-81.00,-124.00
2.4838,-73.00,-118.00
2.5464,-58.00,-111.00
2.6096,-35.00,-96.00
2.6738,-22.00,-88.00
2.7353,-5.00,-79.00
2.7939,4.00,-74.00
2.8695,9.00,-70.00
2.9268,12.00,-66.00
2.9847,20.00,-61.00
3.0559,24.00,-57.00
3.1183,27.00,-54.00
3.1831,36.00,-53.00
3.2429,40.00,-53.00
3.3142,42.00,-54.00
3.3817,41.00,-58.00
3.4420,39.00,-60.00
3.5032,39.00,-61.00
3.5668,34.00,-64.00
3.6253,32.00,-65.00
3.6814,31.00,-67.00
3.7402,33.00,-68.00
3.7974,34.00,-69.00
3.8580,31.00,-70.00
3.9130,28.00,-71.00
3.9792,26.00,-71.00
4.0375,24.00,-70.00
4.0978,15.00,-64.00
4.1690,12.00,-58.00
4.2381,11.00,-53.00
4.2990,5.00,-44.00
4.3666,2.00,-40.00
4.4504,-1.00,-37.00
4.5096,-2.00,-31.00
4.5895,-4.00,-26.00
4.6492,-4.00,-26.00
4.7108,-2.00,-20.00
4.7681,-1.00,-20.00
4.8373,-1.00,-20.00
4.9028,0.00,-21.00
4.9679,1.00,-21.00
5.0392,2.00,-20.00
5.0982,5.00,-20.00
5.1588,7.00,-19.00
5.2459,8.00,-17.00
5.3037,9.00,-15.00
5.3804,10.00,-13.00
5.4435,9.00,-12.00
5.5070,7.00,-9.00
5.5667,6.00,-7.00
5.6262,7.00,-6.00
5.6984,7.00,-4.00
5.7578,6.00,-3.00
5.8218,5.00,-3.00
5.8979,5.00,-1.00
5.9634,5.00,1.00
6.0252,6.00,2.00
6.0832,6.00,3.00
6.1419,8.00,5.00
6.1972,9.00,5.00
6.2552,9.00,5.00
6.3173,9.00,5.00
6.3844,6.00,4.00
6.4418,6.00,4.00
6.4983,5.00,4.00
6.5586,4.00,4.00
6.6404,2.00,4.00
6.7052,5.00,4.00
6.7668,6.00,4.00
6.8409,6.00,4.00
6.9011,6.00,3.00
6.9710,4.00,3.00
7.0385,5.00,2.00
7.1012,8.00,3.00
7.1818,10.00,4.00
7.2435,9.00,3.00
7.3237,9.00,2.00
7.3865,7.00,1.00
7.4466,8.00,2.00
7.5263,11.00,2.00
7.5883,12.00,1.00
7.6801,12.00,1.00
7.7431,12.00,1.00
7.8155,11.00,0.00
7.8772,12.00,1.00
7.9393,12.00,1.00
8.0221,11.00,0.00
8.0828,13.00,0.00
8.1410,13.00,1.00
8.2273,13.00,2.00
8.2859,16.00,3.00
8.3514,16.00,4.00
8.4095,17.00,4.00
8.4676,16.00,3.00
8.5266,12.00,1.00
8.5903,11.00,-1.00
8.6452,11.00,-1.00
8.7044,12.00,-1.00
8.7662,14.00,0.00
8.8308,14.00,0.00
8.8905,14.00,-1.00
8.9521,14.00,1.00
9.0150,13.00,1.00
9.0797,14.00,2.00
9.1389,14.00,4.00
9.2049,14.00,6.00
9.2617,14.00,7.00
9.3277,14.00,6.00
9.3859,16.00,7.00
9.4423,17.00,8.00
9.5025,17.00,9.00
9.5628,18.00,9.00
9.6289,18.00,9.00
9.7058,17.00,9.00
9.7681,17.00,9.00
9.8326,18.00,10.00
9.8934,18.00,9.00
9.9528,18.00,9.00
10.0177,16.00,8.00
10.0845,13.00,6.00
10.1446,13.00,5.00
10.2106,13.00,5.00
10.2757,13.00,4.00
10.3448,13.00,3.00
10.4054,11.00,2.00
10.4804,6.00,1.00
10.5408,6.00,2.00
10.5999,5.00,2.00
10.6599,5.00,-2.00
10.7269,6.00,-3.00
10.7933,7.00,-3.00
10.8573,8.00,-4.00
10.9205,9.00,-2.00
10.9848,10.00,-1.00
11.0500,10.00,-1.00
11.1112,10.00,0.00
11.1801,11.00,1.00
11.2341,11.00,1.00
11.3048,10.00,1.00
11.3674,9.00,2.00
11.4301,10.00,2.00
11.4865,9.00,3.00
11.5460,10.00,2.00
11.6102,11.00,1.00
11.6683,11.00,0.00
11.7278,10.00,1.00
11.7920,8.00,2.00
11.8749,10.00,2.00
11.9393,10.00,2.00
12.0056,11.00,2.00
12.0671,11.00,3.00
12.1315,10.00,2.00
12.1999,11.00,4.00
12.2573,11.00,4.00
12.3182,11.00,6.00
12.3841,10.00,5.00
12.4464,11.00,5.00
12.5059,13.00,5.00
12.5687,14.00,5.00
12.6322,15.00,5.00
12.7195,15.00,5.00
12.7859,13.00,4.00
12.8499,12.00,4.00
12.9102,12.00,2.00
12.9708,13.00,1.00
13.0298,13.00,0.00
13.0950,15.00,0.00
13.1647,11.00,1.00
13.2259,10.00,2.00
13.2931,10.00,2.00
13.3650,10.00,3.00
13.4338,11.00,4.00
13.5069,10.00,4.00
13.5696,12.00,5.00
13.6304,14.00,5.00
13.6911,14.00,4.00
13.7534,15.00,4.00
13.8251,15.00,5.00
13.8933,15.00,5.00
13.9558,13.00,3.00
14.0154,9.00,2.00
14.0795,8.00,2.00
14.1389,10.00,3.00
14.2137,12.00,4.00
14.2775,12.00,6.00
14.3441,13.00,7.00
14.4027,14.00,6.00
14.4687,14.00,5.00
14.5322,13.00,3.00
14.6032,14.00,4.00
14.6666,15.00,4.00
14.7347,16.00,4.00
14.8027,17.00,3.00
14.8619,18.00,2.00
14.9181,20.00,2.00
14.9821,23.00,3.00
15.0406,32.00,1.00
15.1065,37.00,1.00
15.1684,41.00,0.00
15.2267,40.00,-3.00
15.3145,37.00,-4.00
15.3835,33.00,-6.00
15.4423,21.00,-12.00
15.5011,13.00,-14.00
15.5565,9.00,-15.00
15.6185,4.00,-15.00
15.6801,1.00,-15.00
15.7427,-1.00,-16.00
15.8042,-1.00,-17.00
15.8713,-7.00,-23.00
15.9303,-10.00,-27.00
15.9878,-11.00,-28.00
16.0462,-12.00,-28.00
16.1116,-14.00,-25.00
16.1680,-16.00,-23.00
16.2267,-18.00,-23.00
16.2836,-23.00,-22.00
16.3449,-26.00,-20.00
16.4035,-27.00,-19.00
16.4753,-26.00,-18.00
16.5500,-27.00,-14.00
16.6118,-28.00,-12.00
16.6718,-29.00,-13.00
16.7293,-29.00,-13.00
16.7860,-28.00,-15.00
16.8466,-29.00,-15.00
16.9071,-27.00,-16.00
16.9641,-23.00,-20.00
17.0506,-19.00,-22.00
17.1140,-10.00,-23.00
17.1755,-5.00,-24.00
17.2464,-2.00,-24.00
17.3061,3.00,-24.00
17.3650,4.00,-24.00
17.4253,6.00,-23.00
17.4860,6.00,-23.00
17.5494,9.00,-25.00
17.6077,10.00,-27.00
17.6641,9.00,-30.00
17.7255,8.00,-31.00
17.7868,9.00,-30.00
17.8497,10.00,-29.00
17.9137,10.00,-29.00
17.9776,9.00,-29.00
18.0398,7.00,-28.00
18.0997,6.00,-27.00
18.1593,5.00,-27.00
18.2228,5.00,-24.00
18.2936,4.00,-23.00
18.3589,2.00,-22.00
18.4199,4.00,-17.00
18.4810,4.00,-14.00
18.5430,5.00,-9.00
18.6068,6.00,-5.00
18.6726,23.00,10.00
18.7442,32.00,17.00
18.7997,39.00,22.00
18.8597,51.00,22.00
18.9192,55.00,19.00
18.9845,52.00,15.00
19.0415,44.00,9.00
19.1036,5.00,-15.00
19.1703,-17.00,-28.00
19.2352,-30.00,-36.00
19.2986,-32.00,-25.00
19.3573,-30.00,-16.00
19.4246,-22.00,-9.00
19.5338,-9.00,1.00
19.6023,-5.00,4.00
19.6621,-6.00,7.00
19.7255,-7.00,7.00
19.7842,-9.00,4.00
19.8751,-11.00,2.00
19.9458,-12.00,0.00
20.0081,-9.00,0.00
20.0663,-4.00,1.00
20.1234,0.00,3.00
20.2070,3.00,5.00
20.2635,10.00,13.00
20.3241,12.00,17.00
20.4126,13.00,19.00
20.4705,10.00,20.00
20.5582,9.00,20.00
20.6167,8.00,19.00
20.7011,9.00,19.00
20.7571,10.00,19.00
20.8215,14.00,18.00
20.8802,18.00,18.00
20.9384,20.00,18.00
21.0290,21.00,19.00
21.0878,20.00,20.00
21.1735,20.00,21.00
21.2389,16.00,25.00
21.2996,14.00,29.00
21.3576,13.00,31.00
21.4202,12.00,31.00
21.4922,10.00,31.00
21.5496,9.00,32.00
21.6062,3.00,32.00
