epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.324,1.14262,4.43199,0.00466,0.00133,0.18182,0.00081,0.00056,1.0108,4.78126,0.00417,6e-05,6e-05,6e-05
2,16.7721,1.0495,3.42351,0.00373,0.51873,0.27273,0.34245,0.23421,1.15588,2.61222,0.00506,0.000137228,0.000137228,0.000137228
3,18.427,1.01356,3.10918,0.00509,0.68075,0.5,0.63926,0.46037,1.10466,1.83642,0.00453,0.000211288,0.000211288,0.000211288
4,20.1081,1.02258,1.4273,0.00371,0.76353,0.86364,0.88255,0.58446,1.20525,1.34657,0.00506,0.00028218,0.00028218,0.00028218
5,21.7131,1.03381,1.29314,0.00456,0.79996,0.90885,0.9209,0.60425,1.27968,1.28292,0.00532,0.000349904,0.000349904,0.000349904
6,23.232,1.08143,1.21333,0.00458,0.8634,0.86198,0.87145,0.5366,1.45638,1.26226,0.0061,0.00041446,0.00041446,0.00041446
7,24.6968,0.99235,1.08405,0.00405,0.89494,0.86364,0.90731,0.5739,1.38318,1.2465,0.00569,0.000475848,0.000475848,0.000475848
8,26.1448,1.06455,0.98335,0.00428,0.90698,0.8869,0.90655,0.53166,1.54047,1.10594,0.00668,0.000534068,0.000534068,0.000534068
9,27.5391,1.09767,0.87505,0.00488,0.94909,0.84794,0.93921,0.55801,1.58867,0.79907,0.00684,0.00058912,0.00058912,0.00058912
10,29.0041,1.12349,0.76026,0.00442,0.86776,0.89527,0.95414,0.54942,1.59056,0.8417,0.00694,0.000641004,0.000641004,0.000641004
11,30.4779,1.02204,0.56356,0.00372,0.93247,0.90909,0.95385,0.52327,1.69322,0.78088,0.00742,0.00068972,0.00068972,0.00068972
12,32.005,0.97866,0.54251,0.00381,0.94818,0.83218,0.92213,0.52707,1.60133,0.94283,0.00713,0.000735268,0.000735268,0.000735268
