epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,57.7519,0.9148,2.06676,0.00375,0.96325,0.84211,0.96251,0.71304,1.02778,1.5873,0.00512,0.0014588,0.0014588,0.0014588
43,59.051,0.89294,2.0021,0.0037,0.96325,0.84211,0.96251,0.71304,1.02778,1.5873,0.00512,0.0014456,0.0014456,0.0014456
44,60.2904,0.92707,1.78966,0.00359,0.91985,0.90618,0.96713,0.72416,0.96748,1.42918,0.00476,0.0014324,0.0014324,0.0014324
45,61.568,0.97574,1.86878,0.00399,0.77457,1,0.94883,0.70268,0.95651,1.39457,0.00468,0.0014192,0.0014192,0.0014192
46,62.8215,0.96867,1.99911,0.00394,0.92051,0.92105,0.96553,0.72664,0.96114,1.34468,0.00468,0.001406,0.001406,0.001406
47,64.0647,0.96829,1.64348,0.0036,0.92051,0.92105,0.96553,0.72664,0.96114,1.34468,0.00468,0.0013928,0.0013928,0.0013928
48,65.3415,0.90915,2.05791,0.00438,0.94798,0.95928,0.98621,0.73159,0.94462,1.21634,0.00471,0.0013796,0.0013796,0.0013796
49,66.6777,0.88436,1.74117,0.00358,0.94737,0.97368,0.98888,0.74031,0.96622,1.17147,0.0049,0.0013664,0.0013664,0.0013664
50,67.8638,0.98214,1.51567,0.00351,0.98021,0.94737,0.99002,0.7302,1.00988,1.21609,0.00523,0.0013532,0.0013532,0.0013532
51,69.0234,0.86488,1.6396,0.00339,0.98021,0.94737,0.99002,0.7302,1.00988,1.21609,0.00523,0.00134,0.00134,0.00134
52,70.2067,0.93389,1.61159,0.00333,0.94097,1,0.9915,0.73211,1.04173,1.20282,0.00541,0.0013268,0.0013268,0.0013268
53,71.3765,0.90486,1.87731,0.004,0.94629,0.97368,0.99021,0.73468,1.03264,1.13272,0.00536,0.0013136,0.0013136,0.0013136
54,72.6592,0.90972,1.6476,0.00354,0.91649,1,0.98875,0.71993,1.03951,1.02861,0.00531,0.0013004,0.0013004,0.0013004
55,73.7771,0.97707,1.71684,0.00422,0.91649,1,0.98875,0.71993,1.03951,1.02861,0.00531,0.0012872,0.0012872,0.0012872
56,74.9366,0.94607,1.5653,0.0036,0.97027,0.97368,0.99021,0.73192,1.02571,0.95934,0.00515,0.001274,0.001274,0.001274
57,76.106,0.88926,1.50236,0.00327,0.94889,0.97726,0.99321,0.74128,0.94158,0.91659,0.00472,0.0012608,0.0012608,0.0012608
58,77.297,0.82244,1.5661,0.00349,1,0.91006,0.9915,0.74216,0.96312,0.89744,0.00493,0.0012476,0.0012476,0.0012476
59,78.5612,0.86819,1.55201,0.00378,1,0.91006,0.9915,0.74216,0.96312,0.89744,0.00493,0.0012344,0.0012344,0.0012344
60,79.7657,0.89073,1.41801,0.00355,0.95571,0.94737,0.9893,0.73066,1.02507,0.91816,0.00533,0.0012212,0.0012212,0.0012212
61,80.9418,0.83801,1.37083,0.00346,0.90476,0.99993,0.98667,0.73962,0.98201,0.94553,0.00517,0.001208,0.001208,0.001208
62,82.1174,0.88032,1.44945,0.00341,0.94673,0.93562,0.98591,0.71456,0.98917,0.95182,0.00517,0.0011948,0.0011948,0.0011948
63,83.2736,0.86404,1.35226,0.00369,0.94673,0.93562,0.98591,0.71456,0.98917,0.95182,0.00517,0.0011816,0.0011816,0.0011816
64,84.5521,0.84851,1.41002,0.00353,0.93736,0.94737,0.98044,0.71117,0.99153,0.88325,0.00511,0.0011684,0.0011684,0.0011684
65,85.8631,0.87792,1.28718,0.00352,0.94778,0.95547,0.97678,0.74004,0.93784,0.81747,0.00477,0.0011552,0.0011552,0.0011552
66,87.0653,0.8767,1.33448,0.00339,0.97373,0.97536,0.97551,0.7365,0.93728,0.79849,0.00471,0.001142,0.001142,0.001142
67,88.2354,0.84128,1.19184,0.00303,0.97373,0.97536,0.97551,0.7365,0.93728,0.79849,0.00471,0.0011288,0.0011288,0.0011288
68,89.4739,0.86756,1.14686,0.00317,0.86941,0.94737,0.95913,0.70947,0.96736,0.87811,0.00488,0.0011156,0.0011156,0.0011156
69,90.6952,0.90019,1.09732,0.00317,0.96311,0.97368,0.97143,0.71266,1.02437,0.81277,0.00524,0.0011024,0.0011024,0.0011024
70,92.0044,0.86951,1.47884,0.00395,0.89943,1,0.96614,0.70825,1.05366,0.82092,0.00546,0.0010892,0.0010892,0.0010892
71,93.159,0.84101,1.16266,0.00343,0.89943,1,0.96614,0.70825,1.05366,0.82092,0.00546,0.001076,0.001076,0.001076
72,94.3363,0.88583,1.19123,0.00338,0.91828,0.97368,0.96452,0.7112,1.00422,0.83554,0.00505,0.0010628,0.0010628,0.0010628
73,95.5411,0.85373,1.1256,0.00336,0.90646,1,0.96568,0.70889,0.99127,0.85487,0.00493,0.0010496,0.0010496,0.0010496
74,96.739,0.85231,1.29611,0.00349,0.9254,0.97938,0.96054,0.69526,1.01802,0.90009,0.00507,0.0010364,0.0010364,0.0010364
75,98.0333,0.83045,1.19906,0.00334,0.9254,0.97938,0.96054,0.69526,1.01802,0.90009,0.00507,0.0010232,0.0010232,0.0010232
76,99.228,0.86853,1.10289,0.00342,0.88239,0.98735,0.95793,0.71456,0.99006,0.94154,0.00488,0.00101,0.00101,0.00101
77,100.402,0.81221,1.17329,0.00352,0.86814,0.97368,0.96006,0.69961,0.97267,0.92057,0.00484,0.0009968,0.0009968,0.0009968
78,101.574,0.89564,1.19659,0.0038,0.94451,0.92105,0.9666,0.70161,0.94973,0.85158,0.00472,0.0009836,0.0009836,0.0009836
79,102.726,0.76084,0.99766,0.00282,0.94451,0.92105,0.9666,0.70161,0.94973,0.85158,0.00472,0.0009704,0.0009704,0.0009704
80,103.994,0.80303,1.16608,0.00336,0.9589,0.92105,0.96653,0.70814,0.95494,0.81406,0.00476,0.0009572,0.0009572,0.0009572
81,105.159,0.84248,1.00667,0.00299,0.94542,0.92105,0.9655,0.70796,0.98755,0.81252,0.00499,0.000944,0.000944,0.000944
82,106.331,0.79879,1.0997,0.00337,0.91754,0.94737,0.96607,0.69799,1.03223,0.8178,0.00528,0.0009308,0.0009308,0.0009308
83,107.493,0.80117,1.07491,0.00335,0.91754,0.94737,0.96607,0.69799,1.03223,0.8178,0.00528,0.0009176,0.0009176,0.0009176
84,108.701,0.85348,0.94197,0.00343,0.94502,0.90475,0.96589,0.69703,1.04021,0.81777,0.00532,0.0009044,0.0009044,0.0009044
85,110.001,0.79531,1.00333,0.00327,0.94329,0.89474,0.96266,0.70963,0.99442,0.80888,0.00502,0.0008912,0.0008912,0.0008912
86,111.197,0.83334,0.95548,0.00308,0.86093,0.94737,0.95981,0.71183,0.9685,0.81586,0.00487,0.000878,0.000878,0.000878
87,112.373,0.7768,0.85926,0.00275,0.86093,0.94737,0.95981,0.71183,0.9685,0.81586,0.00487,0.0008648,0.0008648,0.0008648
88,113.554,0.8405,0.98057,0.00346,0.87752,0.94282,0.95999,0.7047,0.97598,0.8317,0.00485,0.0008516,0.0008516,0.0008516
