epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,106.378,0.94576,0.53265,0.00464,0.94174,0.91254,0.98298,0.80208,0.75058,0.32976,0.00408,0.0014588,0.0014588,0.0014588
43,108.773,0.85386,0.51776,0.00451,0.95129,0.94504,0.98784,0.79898,0.78672,0.31578,0.00437,0.0014456,0.0014456,0.0014456
44,111.146,0.84663,0.51998,0.00448,0.975,0.94343,0.98737,0.79982,0.79602,0.33306,0.00462,0.0014324,0.0014324,0.0014324
45,113.408,0.80363,0.50687,0.00446,0.94645,0.94355,0.98151,0.78643,0.79122,0.34401,0.0043,0.0014192,0.0014192,0.0014192
46,115.685,0.82572,0.5457,0.00433,0.9622,0.93548,0.98613,0.80183,0.76238,0.30758,0.00415,0.001406,0.001406,0.001406
47,117.942,0.793,0.50849,0.00403,0.9518,0.9556,0.98766,0.79335,0.80846,0.33383,0.00442,0.0013928,0.0013928,0.0013928
48,120.205,0.87282,0.53637,0.00457,0.95246,0.96941,0.99124,0.80305,0.78664,0.30577,0.00421,0.0013796,0.0013796,0.0013796
49,122.485,0.79976,0.4776,0.00412,0.9302,0.90323,0.9808,0.80031,0.75372,0.33717,0.00412,0.0013664,0.0013664,0.0013664
50,124.774,0.86198,0.50792,0.0043,0.95253,0.97105,0.99115,0.80258,0.7599,0.301,0.00428,0.0013532,0.0013532,0.0013532
51,127.051,0.78092,0.47904,0.00417,0.95821,0.98387,0.99185,0.80573,0.74783,0.33141,0.00403,0.00134,0.00134,0.00134
52,129.364,0.87301,0.48697,0.00445,0.96088,0.99042,0.98876,0.81471,0.74951,0.2666,0.00409,0.0013268,0.0013268,0.0013268
53,131.663,0.84867,0.47022,0.00434,0.96413,0.97581,0.99268,0.80761,0.77564,0.26741,0.00416,0.0013136,0.0013136,0.0013136
54,133.973,0.8153,0.46227,0.00419,0.95755,0.97581,0.9906,0.80861,0.74667,0.28455,0.00422,0.0013004,0.0013004,0.0013004
55,136.219,0.7775,0.41302,0.00381,0.96687,0.94355,0.98957,0.78028,0.81174,0.3139,0.00447,0.0012872,0.0012872,0.0012872
56,138.536,0.84244,0.46421,0.00451,0.96463,0.94355,0.98929,0.79173,0.78762,0.29884,0.00417,0.001274,0.001274,0.001274
57,140.902,0.83919,0.47205,0.0046,0.95611,0.94355,0.98984,0.79761,0.78141,0.29966,0.00432,0.0012608,0.0012608,0.0012608
58,143.2,0.84195,0.42817,0.00433,0.99842,0.91129,0.99043,0.8081,0.73751,0.30448,0.0039,0.0012476,0.0012476,0.0012476
59,145.493,0.79956,0.4371,0.00402,0.93131,0.98387,0.98981,0.81864,0.71262,0.27333,0.00383,0.0012344,0.0012344,0.0012344
60,147.834,0.80017,0.39457,0.004,0.98408,0.99705,0.9942,0.81914,0.74878,0.25486,0.00408,0.0012212,0.0012212,0.0012212
61,150.214,0.80731,0.39549,0.00384,0.96092,0.9915,0.99357,0.83683,0.65739,0.24695,0.00337,0.001208,0.001208,0.001208
62,152.546,0.77272,0.40144,0.00397,0.97026,0.95161,0.99208,0.81514,0.7119,0.27276,0.00379,0.0011948,0.0011948,0.0011948
63,154.835,0.78142,0.38882,0.00379,0.94651,0.99194,0.99121,0.81182,0.76273,0.26031,0.00415,0.0011816,0.0011816,0.0011816
64,157.143,0.75644,0.40455,0.00392,0.99179,0.97467,0.9937,0.83339,0.67765,0.23941,0.00356,0.0011684,0.0011684,0.0011684
65,159.41,0.78818,0.42127,0.00411,0.98123,0.96774,0.99251,0.83026,0.70337,0.2586,0.00391,0.0011552,0.0011552,0.0011552
66,161.711,0.75383,0.38488,0.00394,0.9635,0.97581,0.99234,0.80632,0.71681,0.27332,0.00389,0.001142,0.001142,0.001142
67,164.014,0.77652,0.40107,0.00387,0.95942,0.9533,0.98918,0.81689,0.70488,0.29618,0.00373,0.0011288,0.0011288,0.0011288
68,166.352,0.74016,0.36644,0.00379,0.92461,0.99194,0.99049,0.82306,0.70754,0.27703,0.00389,0.0011156,0.0011156,0.0011156
69,168.613,0.77838,0.40153,0.00382,0.9578,0.98387,0.99111,0.80398,0.73573,0.27603,0.00397,0.0011024,0.0011024,0.0011024
70,170.897,0.80816,0.39806,0.00416,0.96421,0.96774,0.98928,0.81064,0.732,0.28114,0.00392,0.0010892,0.0010892,0.0010892
71,173.165,0.73438,0.37496,0.00356,0.96336,0.95968,0.98667,0.81249,0.7245,0.27326,0.00407,0.001076,0.001076,0.001076
72,175.426,0.73254,0.40793,0.0036,0.95863,0.97581,0.98511,0.81538,0.70795,0.28273,0.00388,0.0010628,0.0010628,0.0010628
73,177.692,0.71213,0.39695,0.00354,0.96419,0.94355,0.98629,0.80731,0.70807,0.2965,0.00399,0.0010496,0.0010496,0.0010496
74,179.99,0.68552,0.40965,0.00364,0.91844,0.97581,0.98572,0.79308,0.72893,0.31737,0.00394,0.0010364,0.0010364,0.0010364
75,182.238,0.7068,0.36885,0.00349,0.96,0.96765,0.98886,0.8166,0.69465,0.27238,0.0037,0.0010232,0.0010232,0.0010232
76,184.508,0.72821,0.36977,0.00378,0.9435,0.94277,0.98224,0.81495,0.67146,0.29412,0.00351,0.00101,0.00101,0.00101
77,186.744,0.71941,0.36699,0.00396,0.96167,0.95161,0.98786,0.8169,0.69462,0.26704,0.0039,0.0009968,0.0009968,0.0009968
78,189.026,0.74021,0.35344,0.00369,0.96078,0.98792,0.99209,0.80599,0.72315,0.26277,0.00401,0.0009836,0.0009836,0.0009836
79,191.387,0.76509,0.35749,0.00397,0.96691,0.94247,0.98917,0.82666,0.66528,0.27105,0.00354,0.0009704,0.0009704,0.0009704
80,193.704,0.75851,0.36171,0.00389,0.95309,0.98318,0.98893,0.81429,0.70442,0.26847,0.00373,0.0009572,0.0009572,0.0009572
81,195.941,0.72265,0.36893,0.00358,0.98505,0.97581,0.99094,0.8264,0.66857,0.24794,0.00361,0.000944,0.000944,0.000944
82,198.244,0.76043,0.35547,0.00354,0.9847,0.94355,0.989,0.82326,0.68326,0.26394,0.00358,0.0009308,0.0009308,0.0009308
83,200.474,0.76791,0.34851,0.0041,0.98354,0.96406,0.99113,0.82438,0.67235,0.24787,0.00365,0.0009176,0.0009176,0.0009176
84,202.762,0.78508,0.36811,0.00388,0.98369,0.97295,0.99229,0.81685,0.7099,0.25051,0.00386,0.0009044,0.0009044,0.0009044
85,205.009,0.73063,0.39842,0.0036,0.97234,0.98387,0.99232,0.81918,0.69648,0.24199,0.00376,0.0008912,0.0008912,0.0008912
86,207.313,0.772,0.38122,0.00395,0.96085,0.98952,0.99111,0.82507,0.67495,0.24468,0.00355,0.000878,0.000878,0.000878
87,209.579,0.69301,0.32329,0.00345,0.96772,1,0.99211,0.83027,0.65484,0.22327,0.00352,0.0008648,0.0008648,0.0008648
88,211.861,0.66337,0.33166,0.00354,0.9611,0.99639,0.99298,0.83294,0.65674,0.22772,0.00341,0.0008516,0.0008516,0.0008516
89,214.108,0.69876,0.32283,0.00349,0.96395,0.97581,0.99109,0.82247,0.6638,0.23899,0.00365,0.0008384,0.0008384,0.0008384
