Time(s),ErrorX(px),ErrorY(px)
1.4185,285.00,-327.00
1.5009,286.00,-325.00
1.5661,282.00,-322.00
1.6312,269.00,-313.00
1.6946,256.00,-306.00
1.7624,241.00,-297.00
1.8285,185.00,-264.00
1.8891,150.00,-242.00
1.9489,99.00,-211.00
2.0065,58.00,-181.00
2.0714,36.00,-164.00
2.1407,21.00,-155.00
2.2036,10.00,-148.00
2.2615,-15.00,-127.00
2.3164,-24.00,-120.00
2.3754,-31.00,-115.00
2.4355,-39.00,-112.00
2.4941,-59.00,-100.00
2.5559,-68.00,-94.00
2.6111,-72.00,-91.00
2.6669,-74.00,-86.00
2.7253,-71.00,-83.00
2.7876,-67.00,-80.00
2.8438,-62.00,-77.00
2.9091,-59.00,-72.00
2.9673,-47.00,-64.00
3.0276,-38.00,-61.00
3.0867,-19.00,-52.00
3.1478,-9.00,-47.00
3.2059,-1.00,-44.00
3.2701,3.00,-41.00
3.3322,15.00,-37.00
3.3974,20.00,-34.00
3.4569,23.00,-32.00
3.5144,23.00,-29.00
3.5693,24.00,-27.00
3.6294,25.00,-26.00
3.6853,24.00,-24.00
3.7443,23.00,-23.00
3.8046,18.00,-20.00
3.8588,14.00,-18.00
3.9151,10.00,-17.00
3.9680,7.00,-17.00
4.0243,4.00,-18.00
4.0799,3.00,-19.00
4.1382,2.00,-19.00
4.1999,2.00,-18.00
4.2566,1.00,-18.00
4.3161,1.00,-16.00
4.3721,1.00,-17.00
4.4306,1.00,-16.00
4.4910,1.00,-16.00
4.5442,1.00,-17.00
4.6023,2.00,-17.00
4.6645,2.00,-18.00
4.7233,2.00,-18.00
4.7812,1.00,-18.00
4.8352,1.00,-17.00
4.8907,1.00,-17.00
4.9531,1.00,-17.00
5.0107,2.00,-17.00
5.0685,1.00,-17.00
5.1226,1.00,-17.00
5.1790,1.00,-17.00
5.2402,2.00,-17.00
5.3013,2.00,-17.00
5.3654,2.00,-17.00
5.4265,2.00,-17.00
5.4892,2.00,-17.00
5.5532,2.00,-18.00
5.6113,1.00,-17.00
5.6667,2.00,-17.00
5.7273,2.00,-17.00
5.7905,2.00,-16.00
5.8567,2.00,-16.00
5.9232,2.00,-17.00
5.9821,2.00,-17.00
6.0499,2.00,-17.00
6.1078,2.00,-17.00
6.1696,2.00,-17.00
6.2266,2.00,-17.00
6.2825,2.00,-17.00
6.3359,2.00,-17.00
6.3931,2.00,-17.00
6.4589,2.00,-17.00
6.5165,2.00,-17.00
6.5740,2.00,-17.00
6.6344,2.00,-17.00
6.6997,2.00,-17.00
6.7635,3.00,-14.00
6.8257,3.00,-14.00
6.8899,5.00,-12.00
6.9545,4.00,-11.00
7.0145,5.00,-10.00
7.0715,5.00,-10.00
7.1268,4.00,-9.00
7.1880,5.00,-10.00
7.2439,5.00,-10.00
7.3002,5.00,-10.00
7.3641,5.00,-10.00
7.4263,5.00,-10.00
7.4856,4.00,-13.00
7.5450,4.00,-12.00
7.6045,5.00,-11.00
7.6647,5.00,-10.00
7.7239,5.00,-10.00
7.7836,5.00,-10.00
7.8400,5.00,-11.00
7.9016,4.00,-12.00
7.9659,4.00,-12.00
8.0274,4.00,-11.00
8.0821,5.00,-10.00
8.1404,5.00,-8.00
8.1987,5.00,-8.00
8.2615,5.00,-8.00
8.3271,5.00,-8.00
8.3899,4.00,-10.00
8.4500,4.00,-10.00
8.5131,5.00,-10.00
8.5795,5.00,-9.00
8.6500,5.00,-9.00
8.7096,5.00,-9.00
8.7721,5.00,-9.00
8.8390,4.00,-8.00
8.8961,5.00,-8.00
8.9545,5.00,-8.00
9.0189,5.00,-9.00
9.0804,5.00,-9.00
9.1540,4.00,-10.00
9.2181,5.00,-9.00
9.2802,5.00,-9.00
9.3370,4.00,-9.00
9.3991,5.00,-9.00
9.4581,5.00,-10.00
9.5198,5.00,-10.00
9.5828,5.00,-10.00
9.6450,5.00,-10.00
9.7070,5.00,-10.00
9.7715,5.00,-10.00
9.8313,5.00,-10.00
9.8971,5.00,-10.00
9.9590,5.00,-10.00
10.0296,5.00,-9.00
10.0895,5.00,-9.00
10.1531,4.00,-9.00
10.2100,4.00,-9.00
10.2667,5.00,-10.00
10.3258,4.00,-10.00
10.3891,4.00,-10.00
10.4504,5.00,-10.00
10.5073,5.00,-10.00
10.5635,5.00,-9.00
10.6253,5.00,-10.00
10.6890,5.00,-10.00
10.7572,5.00,-10.00
10.8206,5.00,-10.00
10.8909,5.00,-10.00
10.9473,5.00,-10.00
11.0089,5.00,-9.00
11.0714,5.00,-9.00
11.1320,5.00,-8.00
11.2009,5.00,-8.00
11.2607,5.00,-9.00
11.3193,5.00,-9.00
11.3850,4.00,-9.00
11.4438,5.00,-9.00
11.5031,5.00,-9.00
11.5665,5.00,-9.00
11.6340,5.00,-9.00
11.7002,5.00,-9.00
11.7619,5.00,-9.00
11.8250,5.00,-9.00
11.8932,5.00,-9.00
11.9559,4.00,-9.00
12.0155,4.00,-9.00
12.0775,4.00,-10.00
12.1435,4.00,-9.00
12.2109,5.00,-9.00
12.2735,5.00,-9.00
12.3368,5.00,-9.00
12.3963,5.00,-9.00
12.4600,5.00,-8.00
12.5228,4.00,-8.00
12.5882,5.00,-8.00
12.6481,4.00,-9.00
12.7109,4.00,-9.00
12.7702,4.00,-9.00
12.8311,4.00,-9.00
12.8907,4.00,-9.00
12.9468,5.00,-8.00
