Time(s),ErrorX(px),ErrorY(px)
1.4026,289.00,-326.00
1.4733,290.00,-321.00
1.5361,290.00,-321.00
1.6005,288.00,-320.00
1.6615,256.00,-302.00
1.7209,237.00,-291.00
1.7755,215.00,-277.00
1.8387,149.00,-237.00
1.8961,108.00,-213.00
1.9503,82.00,-196.00
2.0040,74.00,-191.00
2.0649,60.00,-178.00
2.1263,10.00,-142.00
2.1863,-14.00,-124.00
2.2425,-27.00,-114.00
2.3033,-48.00,-101.00
2.3615,-60.00,-93.00
2.4191,-68.00,-88.00
2.4780,-79.00,-82.00
2.5381,-84.00,-79.00
2.6088,-88.00,-73.00
2.6674,-89.00,-71.00
2.7255,-79.00,-66.00
2.7828,-72.00,-63.00
2.8416,-66.00,-61.00
2.9017,-57.00,-60.00
2.9694,-39.00,-54.00
3.0268,-28.00,-50.00
3.0899,-20.00,-47.00
3.1481,-1.00,-40.00
3.2017,9.00,-37.00
3.2593,18.00,-35.00
3.3100,21.00,-34.00
3.3694,22.00,-33.00
3.4241,25.00,-30.00
3.4829,26.00,-29.00
3.5386,27.00,-28.00
3.5952,28.00,-27.00
3.6477,28.00,-25.00
3.7072,24.00,-21.00
3.7629,21.00,-19.00
3.8304,18.00,-18.00
3.8872,11.00,-15.00
3.9462,6.00,-14.00
4.0076,4.00,-15.00
4.0670,3.00,-16.00
4.1269,3.00,-16.00
4.1874,3.00,-16.00
4.2439,4.00,-14.00
4.2965,4.00,-14.00
4.3565,4.00,-14.00
4.4187,4.00,-14.00
4.4762,0.00,-13.00
4.5415,0.00,-14.00
4.6014,0.00,-15.00
4.6614,0.00,-15.00
4.7166,0.00,-15.00
4.7838,1.00,-15.00
4.8408,0.00,-15.00
4.8944,0.00,-15.00
4.9513,0.00,-15.00
5.0142,0.00,-15.00
5.0780,1.00,-15.00
5.1349,1.00,-15.00
5.1913,0.00,-15.00
5.2492,0.00,-15.00
5.3073,0.00,-15.00
5.3679,0.00,-15.00
5.4309,0.00,-15.00
5.4890,1.00,-15.00
5.5454,1.00,-15.00
5.6077,1.00,-15.00
5.6749,1.00,-15.00
5.7366,0.00,-15.00
5.7984,0.00,-15.00
5.8628,1.00,-15.00
5.9315,1.00,-15.00
5.9897,0.00,-15.00
6.0503,0.00,-15.00
6.1070,0.00,-15.00
6.1652,0.00,-15.00
6.2233,1.00,-15.00
6.2815,1.00,-15.00
6.3383,1.00,-15.00
6.3928,1.00,-15.00
6.4466,1.00,-15.00
6.5068,1.00,-15.00
6.5627,1.00,-15.00
6.6196,1.00,-15.00
6.6757,1.00,-15.00
6.7312,1.00,-15.00
6.7889,1.00,-15.00
6.8483,2.00,-13.00
6.9077,3.00,-12.00
6.9675,3.00,-12.00
7.0272,3.00,-12.00
7.0873,3.00,-13.00
7.1443,3.00,-13.00
7.2064,3.00,-13.00
7.2656,2.00,-15.00
7.3324,2.00,-15.00
7.3927,2.00,-13.00
7.4516,2.00,-13.00
7.5060,2.00,-13.00
7.5642,2.00,-12.00
7.6276,3.00,-11.00
7.6876,3.00,-11.00
7.7473,3.00,-10.00
7.8040,3.00,-10.00
7.8635,3.00,-10.00
7.9219,3.00,-11.00
7.9826,3.00,-11.00
8.0487,3.00,-11.00
8.1084,3.00,-11.00
8.1705,3.00,-11.00
8.2294,3.00,-11.00
8.2891,3.00,-10.00
8.3493,3.00,-10.00
8.4101,4.00,-9.00
8.4697,4.00,-8.00
8.5305,5.00,-8.00
8.5871,5.00,-8.00
8.6426,4.00,-8.00
8.7032,3.00,-9.00
8.7586,3.00,-10.00
8.8177,3.00,-10.00
8.8731,3.00,-10.00
8.9289,3.00,-8.00
8.9884,4.00,-7.00
9.0462,4.00,-7.00
9.1060,4.00,-7.00
9.1639,3.00,-8.00
9.2268,3.00,-9.00
9.2813,3.00,-9.00
9.3397,4.00,-9.00
9.3979,4.00,-9.00
9.4625,4.00,-9.00
9.5311,4.00,-9.00
9.5920,4.00,-9.00
9.6478,4.00,-7.00
9.7014,4.00,-7.00
9.7582,4.00,-7.00
9.8175,3.00,-7.00
9.8741,3.00,-8.00
9.9343,3.00,-8.00
9.9953,3.00,-8.00
10.0583,3.00,-7.00
10.1175,4.00,-8.00
10.1769,4.00,-8.00
10.2340,4.00,-7.00
10.2905,4.00,-7.00
10.3469,4.00,-7.00
10.4037,4.00,-7.00
10.4623,3.00,-7.00
10.5281,3.00,-7.00
10.5949,4.00,-6.00
10.6537,4.00,-7.00
10.7111,5.00,-7.00
10.7760,4.00,-7.00
10.8384,4.00,-7.00
10.9043,4.00,-7.00
10.9694,4.00,-6.00
