Time(s),ErrorX(px),ErrorY(px)
1.4730,283.00,-329.00
1.5649,282.00,-327.00
1.6242,282.00,-326.00
1.6800,278.00,-323.00
1.7353,265.00,-316.00
1.7891,253.00,-310.00
1.8484,199.00,-278.00
1.9038,165.00,-258.00
1.9635,137.00,-240.00
2.0199,82.00,-203.00
2.0841,35.00,-172.00
2.1522,9.00,-154.00
2.2108,-9.00,-141.00
2.2635,-35.00,-121.00
2.3227,-49.00,-111.00
2.3831,-58.00,-107.00
2.4447,-62.00,-104.00
2.5056,-78.00,-95.00
2.5653,-84.00,-91.00
2.6258,-86.00,-88.00
2.6834,-82.00,-82.00
2.7429,-76.00,-78.00
2.8040,-69.00,-74.00
2.8645,-63.00,-73.00
2.9234,-57.00,-70.00
2.9814,-38.00,-63.00
3.0362,-26.00,-59.00
3.0914,-19.00,-55.00
3.1492,-2.00,-48.00
3.2046,6.00,-44.00
3.2629,12.00,-43.00
3.3235,21.00,-39.00
3.3867,28.00,-35.00
3.4451,31.00,-32.00
3.5030,34.00,-30.00
3.5643,32.00,-28.00
3.6240,29.00,-25.00
3.6787,26.00,-23.00
3.7367,23.00,-22.00
3.7924,20.00,-21.00
3.8491,14.00,-17.00
3.9058,10.00,-16.00
3.9644,6.00,-15.00
4.0266,4.00,-15.00
4.0833,2.00,-15.00
4.1422,0.00,-16.00
4.2012,-1.00,-16.00
4.2641,-2.00,-16.00
4.3223,-2.00,-16.00
4.3792,-2.00,-16.00
4.4387,-2.00,-15.00
4.4991,-2.00,-15.00
4.5571,-2.00,-14.00
4.6129,-2.00,-14.00
4.6700,-2.00,-15.00
4.7303,-2.00,-15.00
4.7877,-3.00,-16.00
4.8418,-3.00,-16.00
4.9013,-2.00,-16.00
4.9572,-2.00,-16.00
5.0136,-2.00,-15.00
5.0686,-1.00,-15.00
5.1232,-1.00,-15.00
5.1815,-1.00,-15.00
5.2429,-1.00,-16.00
5.3021,-1.00,-15.00
5.3637,-2.00,-16.00
5.4221,-2.00,-16.00
5.4795,-2.00,-15.00
5.5421,-1.00,-16.00
5.5958,-1.00,-15.00
5.6563,-1.00,-15.00
5.7135,-1.00,-15.00
5.7703,-1.00,-16.00
5.8278,-1.00,-16.00
5.8854,-1.00,-16.00
5.9427,-1.00,-16.00
6.0026,-1.00,-17.00
6.0627,-1.00,-16.00
6.1218,-1.00,-16.00
6.1803,-1.00,-16.00
6.2389,0.00,-15.00
6.2954,-1.00,-16.00
6.3527,0.00,-16.00
6.4112,0.00,-16.00
6.4667,-1.00,-16.00
6.5253,-1.00,-16.00
6.5853,-1.00,-16.00
6.6439,-1.00,-16.00
6.7047,0.00,-16.00
6.7647,0.00,-16.00
6.8252,0.00,-16.00
6.8824,0.00,-16.00
6.9415,0.00,-16.00
7.0030,0.00,-15.00
7.0628,0.00,-15.00
7.1215,0.00,-16.00
7.1775,0.00,-16.00
7.2395,0.00,-16.00
7.2975,0.00,-16.00
7.3561,0.00,-16.00
7.4154,0.00,-15.00
7.4731,0.00,-15.00
7.5310,0.00,-16.00
7.5857,0.00,-15.00
7.6440,0.00,-15.00
7.7022,-1.00,-15.00
7.7574,-1.00,-15.00
