Time(s),ErrorX(px),ErrorY(px)
1.5260,286.00,-327.00
1.5896,286.00,-326.00
1.6546,286.00,-326.00
1.7172,284.00,-326.00
1.7794,251.00,-308.00
1.8373,228.00,-295.00
1.9033,206.00,-282.00
1.9656,154.00,-251.00
2.0243,106.00,-221.00
2.0832,77.00,-202.00
2.1439,54.00,-185.00
2.2037,37.00,-172.00
2.2605,6.00,-149.00
2.3196,-9.00,-137.00
2.3808,-38.00,-118.00
2.4417,-57.00,-107.00
2.5002,-67.00,-101.00
2.5666,-75.00,-97.00
2.6281,-84.00,-90.00
2.6936,-87.00,-86.00
2.7562,-88.00,-84.00
2.8267,-85.00,-82.00
2.8837,-68.00,-73.00
2.9424,-58.00,-69.00
2.9995,-53.00,-68.00
3.0666,-38.00,-60.00
3.1243,-27.00,-56.00
3.1850,-19.00,-53.00
3.2435,-13.00,-50.00
3.3094,4.00,-44.00
3.3716,14.00,-42.00
3.4361,19.00,-41.00
3.4966,25.00,-36.00
3.5632,27.00,-33.00
3.6221,27.00,-32.00
3.6838,28.00,-28.00
3.7449,27.00,-26.00
3.8099,26.00,-25.00
3.8754,25.00,-24.00
3.9391,19.00,-21.00
4.0005,14.00,-19.00
4.0647,10.00,-18.00
4.1217,5.00,-18.00
4.1799,4.00,-17.00
4.2482,3.00,-16.00
4.3037,3.00,-16.00
4.3629,2.00,-16.00
4.4218,2.00,-16.00
4.4753,2.00,-16.00
4.5331,2.00,-17.00
4.5905,2.00,-16.00
4.6554,2.00,-16.00
4.7152,2.00,-17.00
4.7891,2.00,-17.00
4.8518,2.00,-16.00
4.9107,1.00,-16.00
4.9698,1.00,-16.00
5.0339,1.00,-16.00
5.1146,2.00,-17.00
5.1889,2.00,-17.00
5.2636,2.00,-17.00
5.3298,2.00,-17.00
5.3950,2.00,-17.00
5.4535,2.00,-17.00
5.5259,2.00,-17.00
5.5915,2.00,-17.00
5.6478,2.00,-17.00
5.7056,2.00,-17.00
5.7625,2.00,-17.00
5.8266,2.00,-17.00
5.8833,2.00,-17.00
5.9425,2.00,-17.00
6.0060,2.00,-17.00
6.0662,2.00,-17.00
6.1243,2.00,-17.00
6.1833,2.00,-17.00
6.2434,2.00,-17.00
6.3017,2.00,-17.00
6.3612,2.00,-17.00
6.4206,3.00,-17.00
6.4813,3.00,-17.00
6.5423,2.00,-17.00
6.6031,2.00,-17.00
6.6692,2.00,-17.00
6.7294,3.00,-17.00
6.7946,3.00,-17.00
6.8551,2.00,-17.00
6.9202,3.00,-15.00
6.9820,3.00,-15.00
7.0408,3.00,-15.00
7.1052,4.00,-14.00
7.1691,4.00,-16.00
7.2291,4.00,-16.00
7.2899,4.00,-15.00
7.3481,4.00,-16.00
7.4053,4.00,-15.00
7.4655,4.00,-15.00
7.5255,4.00,-16.00
7.5810,4.00,-15.00
7.6477,4.00,-14.00
7.7052,4.00,-14.00
7.7678,4.00,-14.00
7.8244,4.00,-13.00
7.8880,4.00,-14.00
7.9489,4.00,-14.00
8.0092,4.00,-14.00
8.0668,4.00,-14.00
8.1253,4.00,-14.00
8.1815,4.00,-15.00
8.2415,4.00,-14.00
8.3044,4.00,-14.00
8.3738,3.00,-14.00
8.4331,4.00,-13.00
8.4964,4.00,-14.00
8.5573,4.00,-13.00
8.6183,4.00,-13.00
8.6805,4.00,-13.00
8.7412,4.00,-13.00
8.8007,5.00,-13.00
8.8619,4.00,-13.00
8.9245,4.00,-12.00
8.9890,4.00,-12.00
9.0488,5.00,-12.00
9.1123,4.00,-12.00
9.1761,4.00,-11.00
9.2379,4.00,-11.00
9.2999,4.00,-10.00
9.3562,5.00,-8.00
9.4162,5.00,-8.00
9.4798,6.00,-7.00
9.5399,6.00,-7.00
9.5968,5.00,-9.00
9.6609,5.00,-10.00
9.7241,5.00,-10.00
9.7821,5.00,-10.00
9.8426,5.00,-9.00
9.9063,5.00,-9.00
9.9655,5.00,-8.00
10.0232,5.00,-7.00
10.0886,5.00,-7.00
10.1482,5.00,-7.00
10.2105,5.00,-8.00
10.2719,5.00,-7.00
10.3318,5.00,-7.00
10.3915,5.00,-6.00
10.4532,5.00,-6.00
10.5065,5.00,-6.00
10.5665,5.00,-6.00
10.6233,5.00,-6.00
10.6822,5.00,-7.00
10.7482,5.00,-7.00
10.8109,5.00,-7.00
10.8691,5.00,-7.00
10.9297,6.00,-7.00
10.9889,6.00,-7.00
11.0459,6.00,-7.00
11.1053,6.00,-7.00
11.1671,6.00,-7.00
11.2293,6.00,-7.00
11.7084,7.00,-6.00
11.7680,6.00,-6.00
11.8294,6.00,-6.00
11.8900,6.00,-6.00
11.9471,6.00,-6.00
12.0081,6.00,-6.00
