Time(s),ErrorX(px),ErrorY(px)
1.4895,271.00,-361.00
1.5569,268.00,-360.00
1.6142,268.00,-361.00
1.6721,266.00,-361.00
1.7303,253.00,-359.00
1.7878,240.00,-356.00
1.8485,183.00,-318.00
1.9052,149.00,-293.00
1.9622,119.00,-272.00
2.0218,63.00,-234.00
2.0801,19.00,-203.00
2.1383,-6.00,-185.00
2.1976,-22.00,-172.00
2.2553,-34.00,-162.00
2.3118,-56.00,-149.00
2.3682,-69.00,-142.00
2.4272,-76.00,-137.00
2.4829,-81.00,-133.00
2.5431,-87.00,-114.00
2.6038,-86.00,-105.00
2.6607,-84.00,-99.00
2.7205,-70.00,-91.00
2.7807,-60.00,-86.00
2.8395,-52.00,-82.00
2.8975,-42.00,-80.00
2.9525,-19.00,-72.00
3.0086,-6.00,-68.00
3.0674,1.00,-63.00
3.1258,7.00,-59.00
3.1834,15.00,-53.00
3.2486,20.00,-51.00
3.3105,23.00,-50.00
3.3696,24.00,-49.00
3.4265,24.00,-49.00
3.4842,23.00,-44.00
3.5390,22.00,-42.00
3.5983,20.00,-40.00
3.6540,15.00,-35.00
3.7092,11.00,-32.00
3.7655,7.00,-30.00
3.8232,4.00,-29.00
3.8809,1.00,-25.00
3.9378,0.00,-23.00
3.9958,-1.00,-20.00
4.0502,-2.00,-19.00
4.1086,-3.00,-20.00
4.1642,0.00,-17.00
4.2195,1.00,-16.00
4.2758,1.00,-15.00
4.3337,0.00,-16.00
4.3948,1.00,-14.00
4.4510,1.00,-14.00
4.5082,-1.00,-13.00
4.5658,-1.00,-13.00
4.6238,-1.00,-13.00
4.6847,-1.00,-14.00
4.7479,-1.00,-14.00
4.8051,-1.00,-14.00
4.8594,-1.00,-14.00
4.9176,1.00,-13.00
4.9758,1.00,-12.00
5.0315,1.00,-11.00
5.1015,1.00,-11.00
5.1769,1.00,-12.00
5.2418,1.00,-12.00
5.2969,1.00,-12.00
5.3565,0.00,-14.00
5.4111,0.00,-14.00
5.4696,0.00,-14.00
5.5247,0.00,-14.00
5.5874,1.00,-13.00
5.6423,1.00,-13.00
5.6965,1.00,-13.00
5.7515,1.00,-13.00
5.8084,-1.00,-15.00
5.8643,-1.00,-15.00
5.9240,-1.00,-15.00
5.9836,0.00,-15.00
6.0396,0.00,-15.00
6.0953,1.00,-13.00
6.1487,2.00,-12.00
6.2025,3.00,-12.00
6.2565,3.00,-12.00
6.3103,3.00,-12.00
6.3681,0.00,-14.00
6.4206,0.00,-14.00
6.4807,0.00,-15.00
6.5376,1.00,-13.00
6.5922,2.00,-12.00
6.6475,3.00,-11.00
6.7070,3.00,-10.00
6.7617,3.00,-10.00
6.8188,3.00,-10.00
6.8788,4.00,-10.00
6.9362,4.00,-11.00
6.9954,3.00,-11.00
7.0544,4.00,-10.00
7.1099,4.00,-10.00
7.1728,5.00,-8.00
7.2312,5.00,-8.00
7.2912,4.00,-9.00
7.3480,4.00,-10.00
7.4092,4.00,-11.00
7.4685,4.00,-11.00
7.5249,4.00,-11.00
7.5838,1.00,-13.00
7.6438,1.00,-12.00
7.7098,2.00,-11.00
7.7688,3.00,-10.00
7.8295,4.00,-10.00
7.8891,4.00,-11.00
7.9505,4.00,-11.00
8.0085,3.00,-10.00
8.0683,3.00,-10.00
8.1294,3.00,-9.00
8.1889,3.00,-9.00
8.2474,3.00,-10.00
8.3081,3.00,-10.00
8.3703,4.00,-10.00
8.4282,4.00,-10.00
8.4889,3.00,-10.00
8.5461,3.00,-10.00
8.6035,3.00,-10.00
8.6599,3.00,-10.00
8.7201,3.00,-10.00
8.7821,3.00,-10.00
8.8413,5.00,-10.00
8.9037,5.00,-10.00
8.9631,5.00,-10.00
9.0225,4.00,-8.00
9.0774,5.00,-7.00
9.1342,5.00,-6.00
9.1886,5.00,-6.00
9.2453,5.00,-6.00
9.3078,5.00,-8.00
9.3645,4.00,-8.00
9.4197,4.00,-8.00
9.4758,5.00,-8.00
9.5357,5.00,-7.00
9.5946,5.00,-7.00
9.6498,6.00,-7.00
9.7080,6.00,-7.00
9.7611,6.00,-7.00
9.8222,6.00,-7.00
9.8843,6.00,-7.00
9.9373,6.00,-7.00
9.9964,4.00,-5.00
10.0531,4.00,-5.00
10.1076,4.00,-5.00
10.1619,4.00,-5.00
10.2186,4.00,-5.00
10.2741,4.00,-5.00
10.5565,6.00,-4.00
10.6130,6.00,-4.00
10.6744,8.00,-4.00
10.7324,9.00,-3.00
10.7887,8.00,-3.00
10.8438,7.00,-3.00
10.9004,7.00,-3.00
10.9576,6.00,-4.00
11.0136,6.00,-4.00
11.0673,6.00,-4.00
11.1241,7.00,-4.00
