Time(s),ErrorX(px),ErrorY(px)
1.6911,-375.00,299.00
1.7962,-370.00,301.00
1.8945,-367.00,302.00
2.0020,-363.00,294.00
2.0999,-360.00,287.00
2.1870,-340.00,256.00
2.2627,-328.00,240.00
2.3809,-306.00,206.00
2.4925,-284.00,169.00
2.6001,-250.00,125.00
2.6940,-225.00,98.00
2.7877,-212.00,85.00
2.8915,-196.00,76.00
3.0200,-178.00,71.00
3.1440,-157.00,67.00
3.2144,-146.00,63.00
3.3246,-140.00,63.00
3.4185,-131.00,57.00
3.5358,-116.00,51.00
3.6557,-102.00,49.00
3.7529,-90.00,47.00
3.8302,-85.00,46.00
3.9131,-76.00,45.00
4.0060,-71.00,44.00
4.1183,-63.00,38.00
4.2055,-56.00,34.00
4.3037,-53.00,31.00
4.4147,-52.00,30.00
4.5150,-46.00,28.00
4.6047,-43.00,27.00
4.7145,-42.00,23.00
4.8086,-38.00,20.00
4.9048,-37.00,18.00
4.9802,-35.00,18.00
5.0788,-35.00,18.00
5.1900,-33.00,17.00
5.2774,-32.00,17.00
5.3571,-30.00,17.00
5.4554,-27.00,18.00
5.5610,-26.00,20.00
5.6737,-25.00,21.00
5.7554,-24.00,23.00
5.8479,-24.00,23.00
5.9444,-19.00,23.00
6.0302,-18.00,22.00
6.1245,-17.00,22.00
6.2183,-16.00,17.00
6.3316,-15.00,14.00
6.4329,-17.00,12.00
6.5239,-16.00,11.00
6.6440,-15.00,11.00
6.7385,-14.00,10.00
6.8219,-14.00,9.00
6.9299,-15.00,9.00
7.0386,-15.00,10.00
7.1343,-16.00,10.00
7.2254,-14.00,11.00
7.3349,-13.00,11.00
7.4358,-14.00,10.00
7.5298,-14.00,10.00
7.6170,-14.00,10.00
7.7115,-14.00,10.00
7.8010,-14.00,10.00
7.8874,-14.00,11.00
8.0034,-14.00,11.00
8.1079,-13.00,11.00
8.2157,-15.00,10.00
8.3061,-16.00,10.00
8.4102,-16.00,10.00
8.5193,-18.00,9.00
8.5974,-19.00,9.00
8.7146,-19.00,9.00
8.8102,-18.00,9.00
8.8962,-17.00,9.00
8.9981,-16.00,9.00
9.0760,-14.00,9.00
9.1698,-14.00,9.00
9.2648,-14.00,9.00
9.3525,-13.00,10.00
9.4676,-13.00,10.00
9.5367,-14.00,9.00
9.6419,-13.00,9.00
9.7463,-13.00,9.00
9.8702,-14.00,9.00
9.9441,-14.00,9.00
10.0446,-14.00,9.00
10.1144,-13.00,9.00
10.2154,-15.00,8.00
10.3051,-14.00,9.00
10.4118,-14.00,10.00
10.5189,-14.00,9.00
10.6181,-15.00,9.00
10.7118,-15.00,9.00
10.7960,-15.00,9.00
10.8767,-14.00,9.00
10.9524,-14.00,8.00
11.0676,-15.00,8.00
11.1662,-14.00,9.00
11.2567,-14.00,9.00
11.3539,-14.00,10.00
11.4467,-11.00,10.00
11.5315,-11.00,10.00
11.6467,-11.00,9.00
11.7441,-11.00,9.00
11.8388,-11.00,10.00
11.9199,-11.00,10.00
12.0280,-11.00,10.00
12.1270,-11.00,9.00
12.2393,-12.00,10.00
12.3396,-12.00,10.00
12.4381,-13.00,9.00
12.5296,-14.00,9.00
12.6206,-14.00,8.00
12.7060,-14.00,9.00
12.8082,-15.00,9.00
12.9003,-14.00,9.00
12.9933,-14.00,9.00
13.0938,-15.00,8.00
13.1581,-15.00,8.00
13.2187,-15.00,9.00
13.2794,-15.00,9.00
13.3386,-16.00,9.00
13.3984,-15.00,9.00
13.4593,-14.00,9.00
13.5202,-13.00,10.00
13.5778,-14.00,10.00
13.6372,-14.00,9.00
13.6933,-14.00,8.00
13.7498,-14.00,9.00
13.8078,-13.00,10.00
13.8658,-13.00,9.00
13.9245,-14.00,9.00
13.9885,-15.00,9.00
14.0464,-16.00,9.00
14.1078,-17.00,9.00
14.1642,-16.00,9.00
14.2214,-16.00,9.00
14.3022,-15.00,9.00
14.3651,-15.00,9.00
14.4225,-14.00,9.00
14.4850,-14.00,9.00
14.5458,-13.00,9.00
14.6062,-13.00,9.00
14.6620,-13.00,9.00
14.7209,-13.00,9.00
14.7772,-13.00,10.00
14.8375,-12.00,10.00
14.8958,-12.00,10.00
14.9528,-12.00,10.00
15.0124,-12.00,9.00
15.0724,-12.00,9.00
15.1317,-12.00,9.00
15.1906,-12.00,10.00
15.2485,-12.00,10.00
15.3064,-13.00,9.00
15.3638,-14.00,8.00
15.4217,-15.00,8.00
15.4781,-13.00,9.00
15.5361,-13.00,10.00
15.5944,-13.00,10.00
15.6760,-13.00,10.00
15.7329,-14.00,8.00
15.7901,-14.00,8.00
15.8480,-13.00,9.00
15.9069,-13.00,9.00
15.9660,-15.00,8.00
16.0249,-17.00,7.00
16.0857,-19.00,7.00
16.1452,-20.00,8.00
16.2040,-20.00,8.00
16.2701,-21.00,8.00
16.3281,-22.00,7.00
16.3886,-22.00,6.00
16.4478,-21.00,6.00
16.5044,-19.00,6.00
16.5621,-14.00,9.00
16.6216,-7.00,11.00
16.6799,-3.00,12.00
