Time(s),ErrorX(px),ErrorY(px)
1.4175,-377.00,302.00
1.4860,-374.00,304.00
1.5464,-373.00,304.00
1.6036,-375.00,302.00
1.6626,-373.00,295.00
1.7190,-368.00,287.00
1.7793,-361.00,278.00
1.8423,-332.00,239.00
1.8994,-314.00,213.00
1.9577,-299.00,192.00
2.0144,-294.00,186.00
2.0802,-252.00,130.00
2.1426,-226.00,100.00
2.2052,-209.00,81.00
2.2663,-180.00,54.00
2.3265,-162.00,38.00
2.3869,-151.00,29.00
2.4469,-142.00,24.00
2.5056,-116.00,21.00
2.5743,-104.00,22.00
2.6380,-97.00,25.00
2.7018,-85.00,30.00
2.7623,-79.00,32.00
2.8283,-74.00,33.00
2.8877,-70.00,33.00
2.9459,-59.00,30.00
3.0035,-53.00,27.00
3.0633,-48.00,26.00
3.1311,-36.00,23.00
3.1902,-28.00,24.00
3.2479,-23.00,24.00
3.3067,-17.00,23.00
3.3652,-11.00,20.00
3.4228,-9.00,19.00
3.4870,-8.00,18.00
3.5428,-6.00,13.00
3.6064,-6.00,11.00
3.6643,-6.00,11.00
3.7285,-6.00,11.00
3.7914,-7.00,9.00
3.8568,-7.00,9.00
3.9226,-7.00,10.00
3.9878,-8.00,10.00
4.0430,-8.00,9.00
4.1067,-8.00,9.00
4.1663,-8.00,9.00
4.2290,-8.00,9.00
4.2847,-8.00,9.00
4.3493,-9.00,9.00
4.4078,-9.00,9.00
4.4651,-10.00,10.00
4.5229,-10.00,10.00
4.5881,-9.00,10.00
4.6490,-9.00,10.00
4.7126,-10.00,10.00
4.7743,-11.00,10.00
4.8351,-11.00,10.00
4.8893,-12.00,11.00
4.9475,-12.00,11.00
5.0070,-12.00,11.00
5.0728,-13.00,11.00
5.1266,-12.00,11.00
5.1847,-11.00,11.00
5.2424,-11.00,11.00
5.2985,-10.00,11.00
5.3541,-9.00,11.00
5.4177,-9.00,10.00
5.4820,-9.00,10.00
5.5363,-9.00,10.00
5.6012,-9.00,10.00
5.6597,-11.00,10.00
5.7140,-11.00,11.00
5.7799,-10.00,11.00
5.8373,-10.00,11.00
5.8973,-10.00,11.00
5.9598,-9.00,10.00
6.0175,-9.00,11.00
6.0754,-9.00,11.00
6.1320,-8.00,11.00
6.1877,-7.00,11.00
6.2416,-6.00,12.00
6.3029,-4.00,13.00
6.3609,-2.00,14.00
6.4139,-1.00,15.00
6.4699,-1.00,14.00
6.5217,-1.00,13.00
6.5767,-1.00,12.00
6.6335,-1.00,13.00
6.6908,-1.00,13.00
6.7472,-2.00,14.00
6.8066,-3.00,14.00
6.8677,-2.00,14.00
6.9259,-1.00,15.00
6.9799,0.00,15.00
7.0401,0.00,13.00
7.1036,0.00,12.00
7.1646,-2.00,12.00
7.2211,-4.00,11.00
7.2751,-4.00,12.00
7.3317,-4.00,13.00
7.3910,-5.00,13.00
7.4497,-8.00,11.00
7.5065,-9.00,10.00
7.5605,-10.00,10.00
7.6166,-11.00,10.00
7.6733,-10.00,10.00
7.7335,-8.00,12.00
7.7900,-8.00,12.00
7.8454,-9.00,10.00
7.8991,-10.00,10.00
7.9580,-7.00,11.00
8.0158,-5.00,12.00
8.0743,-5.00,12.00
8.1368,-4.00,13.00
8.1932,-9.00,10.00
8.2523,-11.00,10.00
8.3121,-11.00,10.00
8.3686,-10.00,10.00
8.4341,-10.00,11.00
8.5009,-10.00,12.00
8.5674,-11.00,12.00
8.6212,-10.00,12.00
8.6781,-8.00,12.00
8.7332,-8.00,11.00
8.7907,-9.00,11.00
8.8427,-9.00,10.00
8.8984,-10.00,10.00
8.9553,-10.00,10.00
9.0131,-10.00,10.00
9.0739,-11.00,12.00
9.1281,-11.00,12.00
9.1880,-11.00,12.00
9.2437,-10.00,12.00
9.2987,-9.00,12.00
9.3564,-10.00,11.00
9.4190,-11.00,10.00
9.4770,-11.00,10.00
9.5330,-11.00,10.00
9.5909,-9.00,11.00
9.6438,-9.00,11.00
9.7050,-10.00,12.00
9.7617,-11.00,11.00
9.8240,-12.00,11.00
9.8861,-11.00,11.00
9.9427,-10.00,11.00
10.0008,-10.00,11.00
10.0616,-11.00,11.00
10.1314,-10.00,12.00
10.1944,-10.00,12.00
10.2564,-9.00,12.00
10.3121,-9.00,11.00
10.3693,-9.00,11.00
10.4240,-9.00,11.00
10.4797,-9.00,11.00
10.5375,-8.00,12.00
10.5924,-7.00,12.00
10.6490,-6.00,12.00
10.7120,-6.00,12.00
10.7714,-5.00,12.00
10.8245,-5.00,12.00
10.8812,-6.00,12.00
10.9478,-6.00,12.00
11.0349,-8.00,12.00
11.0981,-9.00,12.00
11.1570,-10.00,12.00
11.2149,-10.00,12.00
11.2734,-11.00,13.00
11.3351,-11.00,13.00
11.3936,-11.00,13.00
11.4499,-9.00,12.00
11.5072,-8.00,12.00
11.5692,-7.00,12.00
11.6247,-6.00,12.00
11.6844,-7.00,12.00
11.7412,-6.00,12.00
11.7998,-5.00,12.00
11.8598,-5.00,12.00
11.9197,-4.00,12.00
11.9799,-4.00,12.00
12.0381,-4.00,12.00
12.0993,-4.00,13.00
12.1609,-3.00,12.00
12.2203,-2.00,12.00
12.2774,-1.00,14.00
