Time(s),ErrorX(px),ErrorY(px)
1.4502,-427.00,351.00
1.5205,-422.00,348.00
1.5883,-421.00,348.00
1.6432,-421.00,348.00
1.7057,-422.00,344.00
1.7612,-420.00,342.00
1.8218,-419.00,328.00
1.8799,-420.00,320.00
1.9400,-419.00,312.00
2.0014,-419.00,297.00
2.0588,-421.00,284.00
2.1253,-422.00,275.00
2.1888,-422.00,266.00
2.2467,-397.00,232.00
2.2985,-388.00,220.00
2.3551,-376.00,211.00
2.4146,-364.00,202.00
2.4757,-364.00,202.00
2.5409,-364.00,202.00
2.6070,-364.00,202.00
2.6650,-364.00,202.00
2.7228,-364.00,202.00
2.8434,-36.00,-11.00
2.9051,-10.00,-27.00
2.9592,52.00,-66.00
3.0432,84.00,-87.00
3.0998,111.00,-116.00
3.1576,123.00,-130.00
3.2205,126.00,-137.00
3.2860,127.00,-140.00
3.3416,125.00,-139.00
3.4031,123.00,-136.00
3.4683,122.00,-133.00
3.5314,117.00,-117.00
3.5949,114.00,-106.00
3.6574,111.00,-99.00
3.7166,103.00,-83.00
3.7751,97.00,-74.00
3.8336,92.00,-67.00
3.8930,88.00,-62.00
3.9586,84.00,-57.00
4.0146,74.00,-43.00
4.0711,69.00,-36.00
4.1318,65.00,-31.00
4.1962,57.00,-22.00
4.2565,52.00,-17.00
4.3152,48.00,-14.00
4.3753,46.00,-12.00
4.4300,38.00,-10.00
4.4905,32.00,-8.00
4.5511,28.00,-8.00
4.6080,26.00,-8.00
4.6666,19.00,-8.00
4.7299,15.00,-9.00
4.7890,13.00,-10.00
4.8516,12.00,-10.00
4.9131,10.00,-11.00
4.9717,10.00,-11.00
5.0282,10.00,-11.00
5.0941,10.00,-11.00
5.1560,9.00,-11.00
5.2188,9.00,-11.00
5.2777,8.00,-10.00
5.3375,8.00,-9.00
5.4000,9.00,-8.00
5.4551,9.00,-7.00
5.5139,9.00,-6.00
5.5781,8.00,-6.00
5.6418,8.00,-6.00
5.7033,8.00,-7.00
5.7615,9.00,-8.00
5.8262,9.00,-9.00
5.8874,9.00,-10.00
5.9473,9.00,-10.00
6.0120,9.00,-10.00
6.0732,10.00,-11.00
6.1329,10.00,-11.00
6.1929,9.00,-11.00
6.2520,9.00,-8.00
6.3096,8.00,-6.00
6.3655,6.00,-4.00
6.4220,6.00,-4.00
6.4790,5.00,-4.00
6.5430,5.00,-5.00
6.6019,6.00,-6.00
6.6655,7.00,-7.00
6.7307,8.00,-7.00
6.7859,9.00,-7.00
6.8420,10.00,-8.00
6.9066,10.00,-12.00
6.9645,10.00,-15.00
7.0305,11.00,-18.00
7.0913,14.00,-22.00
7.1484,16.00,-24.00
7.2081,18.00,-26.00
7.2638,21.00,-26.00
7.3298,21.00,-27.00
7.3888,21.00,-28.00
7.4458,19.00,-27.00
7.5053,17.00,-26.00
7.5661,16.00,-24.00
7.6324,15.00,-21.00
7.6965,15.00,-19.00
7.7564,16.00,-15.00
7.8103,17.00,-14.00
7.8687,17.00,-13.00
7.9316,17.00,-13.00
7.9928,16.00,-13.00
8.0524,16.00,-13.00
8.1163,17.00,-12.00
8.1773,18.00,-11.00
8.2452,17.00,-8.00
8.3018,17.00,-6.00
8.3649,16.00,-6.00
8.4224,15.00,-7.00
8.4892,15.00,-7.00
8.5533,15.00,-7.00
8.6169,17.00,-7.00
8.6778,17.00,-8.00
8.7505,17.00,-7.00
8.8102,17.00,-7.00
8.8774,17.00,-8.00
8.9409,17.00,-8.00
9.0013,17.00,-8.00
9.0578,19.00,-8.00
9.1205,19.00,-8.00
9.1821,19.00,-9.00
9.2458,20.00,-8.00
9.3039,18.00,-6.00
9.3658,17.00,-5.00
9.4250,17.00,-4.00
9.4824,17.00,-4.00
9.5417,17.00,-3.00
9.6056,17.00,-3.00
9.6699,16.00,-2.00
9.7255,16.00,0.00
9.7825,15.00,1.00
9.8413,15.00,1.00
9.9038,14.00,0.00
9.9679,13.00,0.00
10.0262,13.00,0.00
10.0868,14.00,0.00
10.1489,14.00,-1.00
10.2091,15.00,-2.00
10.2716,15.00,-3.00
10.3312,15.00,-5.00
