Time(s),ErrorX(px),ErrorY(px)
1.4299,-409.00,280.00
1.4959,-407.00,280.00
1.5532,-406.00,280.00
1.6164,-405.00,279.00
1.6750,-400.00,272.00
1.7356,-391.00,265.00
1.7978,-385.00,258.00
1.8578,-354.00,237.00
1.9159,-335.00,224.00
1.9750,-317.00,214.00
2.0307,-311.00,211.00
2.1010,-263.00,177.00
2.1704,-238.00,158.00
2.2269,-221.00,144.00
2.2918,-193.00,111.00
2.3516,-174.00,90.00
2.4092,-159.00,73.00
2.4673,-145.00,59.00
2.5284,-98.00,20.00
2.5943,-75.00,1.00
2.6580,-62.00,-12.00
2.7149,-47.00,-30.00
2.7729,-40.00,-40.00
2.8327,-35.00,-45.00
2.8908,-32.00,-45.00
2.9508,-21.00,-38.00
3.0109,-15.00,-33.00
3.0665,-11.00,-28.00
3.1301,-8.00,-24.00
3.1951,-5.00,-14.00
3.2564,-4.00,-8.00
3.3161,-3.00,-2.00
3.3770,-1.00,5.00
3.4347,0.00,10.00
3.4905,1.00,13.00
3.5532,2.00,15.00
3.6124,0.00,18.00
3.6730,-1.00,19.00
3.7362,-2.00,19.00
3.7924,-3.00,20.00
3.8600,-4.00,21.00
3.9178,-4.00,22.00
3.9806,-4.00,22.00
4.0434,-4.00,23.00
4.1040,-5.00,24.00
4.1607,-5.00,25.00
4.2279,-5.00,26.00
4.2984,-7.00,27.00
4.3617,-8.00,26.00
4.4180,-9.00,24.00
4.4815,-11.00,22.00
4.5405,-11.00,21.00
4.6045,-11.00,20.00
4.6643,-11.00,20.00
4.7227,-14.00,14.00
4.7788,-15.00,11.00
4.8349,-16.00,10.00
4.8958,-17.00,9.00
4.9574,-19.00,8.00
5.0216,-19.00,8.00
5.0856,-19.00,9.00
5.1424,-21.00,6.00
5.1995,-21.00,5.00
5.2548,-22.00,4.00
5.3087,-21.00,4.00
5.3657,-21.00,4.00
5.4245,-19.00,5.00
5.4855,-19.00,5.00
5.5448,-19.00,5.00
5.6066,-20.00,5.00
5.6691,-19.00,6.00
5.7333,-18.00,7.00
5.7990,-18.00,7.00
5.8557,-17.00,6.00
